,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
3050,qwen1.5-0.5b-chat,mbpp,0.7,-1,0,13,0,0.0
3051,qwen1.5-0.5b-chat,mbpp,0.7,-1,1,13,0,0.0
3052,qwen1.5-0.5b-chat,mbpp,0.7,-1,2,13,0,0.0
3053,qwen1.5-0.5b-chat,mbpp,0.7,-1,3,13,0,0.0
3054,qwen1.5-0.5b-chat,mbpp,0.7,-1,4,13,0,0.0
3055,qwen1.5-0.5b-chat,mbpp,0.7,-1,5,13,0,0.0
3056,qwen1.5-0.5b-chat,mbpp,0.7,-1,6,13,1,0.0769230769
3057,qwen1.5-0.5b-chat,mbpp,0.7,-1,7,13,0,0.0
3058,qwen1.5-0.5b-chat,mbpp,0.7,-1,8,13,2,0.1538461538
3059,qwen1.5-0.5b-chat,mbpp,0.7,-1,9,13,1,0.0769230769
3060,qwen1.5-0.5b-chat,mbpp,0.7,-1,10,13,0,0.0
3061,qwen1.5-0.5b-chat,mbpp,0.7,-1,11,13,0,0.0
3062,qwen1.5-0.5b-chat,mbpp,0.7,-1,12,13,0,0.0
3063,qwen1.5-0.5b-chat,mbpp,0.7,-1,13,13,0,0.0
3064,qwen1.5-0.5b-chat,mbpp,0.7,-1,14,13,0,0.0
3065,qwen1.5-0.5b-chat,mbpp,0.7,-1,15,13,0,0.0
3066,qwen1.5-0.5b-chat,mbpp,0.7,-1,16,13,0,0.0
3067,qwen1.5-0.5b-chat,mbpp,0.7,-1,17,13,0,0.0
3068,qwen1.5-0.5b-chat,mbpp,0.7,-1,18,13,0,0.0
3069,qwen1.5-0.5b-chat,mbpp,0.7,-1,19,13,0,0.0
3070,qwen1.5-0.5b-chat,mbpp,0.7,-1,20,13,0,0.0
3071,qwen1.5-0.5b-chat,mbpp,0.7,-1,21,13,0,0.0
3072,qwen1.5-0.5b-chat,mbpp,0.7,-1,22,13,0,0.0
3073,qwen1.5-0.5b-chat,mbpp,0.7,-1,23,13,0,0.0
3074,qwen1.5-0.5b-chat,mbpp,0.7,-1,24,13,0,0.0
3075,qwen1.5-0.5b-chat,mbpp,0.7,-1,25,13,0,0.0
3076,qwen1.5-0.5b-chat,mbpp,0.7,-1,26,13,0,0.0
3077,qwen1.5-0.5b-chat,mbpp,0.7,-1,27,13,0,0.0
3078,qwen1.5-0.5b-chat,mbpp,0.7,-1,28,13,0,0.0
3079,qwen1.5-0.5b-chat,mbpp,0.7,-1,29,13,0,0.0
3080,qwen1.5-0.5b-chat,mbpp,0.7,-1,30,13,7,0.5384615385
3081,qwen1.5-0.5b-chat,mbpp,0.7,-1,31,13,0,0.0
3082,qwen1.5-0.5b-chat,mbpp,0.7,-1,32,13,0,0.0
3083,qwen1.5-0.5b-chat,mbpp,0.7,-1,33,13,0,0.0
3084,qwen1.5-0.5b-chat,mbpp,0.7,-1,34,13,1,0.0769230769
3085,qwen1.5-0.5b-chat,mbpp,0.7,-1,35,13,0,0.0
3086,qwen1.5-0.5b-chat,mbpp,0.7,-1,36,13,0,0.0
3087,qwen1.5-0.5b-chat,mbpp,0.7,-1,37,13,0,0.0
3088,qwen1.5-0.5b-chat,mbpp,0.7,-1,38,13,0,0.0
3089,qwen1.5-0.5b-chat,mbpp,0.7,-1,39,13,0,0.0
3090,qwen1.5-0.5b-chat,mbpp,0.7,-1,40,13,4,0.3076923077
3091,qwen1.5-0.5b-chat,mbpp,0.7,-1,41,13,7,0.5384615385
3092,qwen1.5-0.5b-chat,mbpp,0.7,-1,42,13,0,0.0
3093,qwen1.5-0.5b-chat,mbpp,0.7,-1,43,13,2,0.1538461538
3094,qwen1.5-0.5b-chat,mbpp,0.7,-1,44,13,0,0.0
3095,qwen1.5-0.5b-chat,mbpp,0.7,-1,45,13,0,0.0
3096,qwen1.5-0.5b-chat,mbpp,0.7,-1,46,13,0,0.0
3097,qwen1.5-0.5b-chat,mbpp,0.7,-1,47,13,0,0.0
3098,qwen1.5-0.5b-chat,mbpp,0.7,-1,48,13,0,0.0
3099,qwen1.5-0.5b-chat,mbpp,0.7,-1,49,13,0,0.0
3100,qwen1.5-0.5b-chat,mbpp,0.7,-1,50,13,0,0.0
3101,qwen1.5-0.5b-chat,mbpp,0.7,-1,51,13,9,0.6923076923
3102,qwen1.5-0.5b-chat,mbpp,0.7,-1,52,13,0,0.0
3103,qwen1.5-0.5b-chat,mbpp,0.7,-1,53,13,0,0.0
3104,qwen1.5-0.5b-chat,mbpp,0.7,-1,54,13,0,0.0
3105,qwen1.5-0.5b-chat,mbpp,0.7,-1,55,13,11,0.8461538462
3106,qwen1.5-0.5b-chat,mbpp,0.7,-1,56,13,0,0.0
3107,qwen1.5-0.5b-chat,mbpp,0.7,-1,57,13,0,0.0
