,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,nq/0,0.22299168975069253,11,"['Mixtral-8x7B-v0.1' 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-32B' 'Qwen1.5-14B'
 'Qwen1.5-110B' 'llama2_07B' 'llama2_13B' 'llama2_70B' 'llama_13B'
 'llama_65B']",0.3055555555555556,0.3055555555555556,0.39641248358604597,nq/0
1,nq/1,0.28614958448753464,3,['Mixtral-8x7B-v0.1' 'dbrx-base' 'llama_13B'],0.08333333333333333,0.08333333333333333,0.2602708225564948,nq/1
2,nq/10,,0,[],0.0,0.0,,nq/10
3,nq/100,0.17590027700831026,1,['stablelm-3b-4e1t'],0.027777777777777776,0.027777777777777776,-0.10101525445522108,nq/100
4,nq/1000,,0,[],0.0,0.0,,nq/1000
5,nq/1001,0.08836565096952909,19,"['mpt-30b' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-moe-16b-base'
 'deepseek-llm-7b-base' 'deepseek-llm-67b-base' 'Qwen1.5-7B' 'Qwen1.5-4B'
 'Qwen1.5-110B' 'pythia-6.9b-deduped-v0' 'pythia-12b-deduped-v0'
 'falcon-40b' 'llama2_07B' 'llama2_70B' 'llama_33B']",0.5277777777777778,0.5277777777777778,0.25049952551974225,nq/1001
6,nq/1002,0.33268698060941826,3,['Meta-Llama-3-70B' 'dbrx-base' 'falcon-40b'],0.08333333333333333,0.08333333333333333,0.33234581957213954,nq/1002
7,nq/1003,0.27008310249307477,13,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'deepseek-llm-67b-base' 'dbrx-base'
 'Qwen1.5-32B' 'falcon-40b' 'llama2_13B' 'llama2_70B' 'llama_33B'
 'llama_65B']",0.3611111111111111,0.3611111111111111,0.6059682638247272,nq/1003
8,nq/1004,0.22077562326869807,2,['deepseek-llm-7b-base' 'Qwen1.5-72B'],0.05555555555555555,0.05555555555555555,0.04831425297103737,nq/1004
9,nq/1005,0.054293628808864264,2,['Mixtral-8x22B-v0.1' 'Qwen1.5-0.5B'],0.05555555555555555,0.05555555555555555,0.0,nq/1005
10,nq/1006,0.02326869806094183,5,"['pythia-2.8b-deduped' 'pythia-12b-deduped-v0' 'pythia-1.4b-deduped-v0'
 'llama_07B' 'llama_13B']",0.1388888888888889,0.1388888888888889,-0.2784089092276452,nq/1006
11,nq/1007,0.30664819944598337,1,['Qwen1.5-32B'],0.027777777777777776,0.027777777777777776,0.08754655386119159,nq/1007
12,nq/1008,0.16814404432132965,3,['stablelm-base-alpha-7b-v2' 'Qwen1.5-72B' 'llama_33B'],0.08333333333333333,0.08333333333333333,0.09209582951999049,nq/1008
13,nq/1009,0.2614958448753463,14,"['mpt-30b' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-70B' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B'
 'Qwen1.5-32B' 'Qwen1.5-110B' 'falcon-40b' 'llama2_13B' 'llama2_70B'
 'llama_65B']",0.3888888888888889,0.3888888888888889,0.6447223222517815,nq/1009
14,nq/101,,0,[],0.0,0.0,,nq/101
