,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,20231010_rag_claude2,20231010_rag_gpt35,300.0,0.03,0.0033333333333333335,8.0,8.0,0.009428090415820635,0.0078125,0.0,0.009301533127313934,0.009301533127313933,0.3288437905343839,swebench-lite
1,20231010_rag_claude2,20231010_rag_swellama13b,300.0,0.03,0.01,12.0,6.0,0.011547005383792516,0.14599609375,0.0,0.011489125293076056,0.011489125293076056,-0.017674908041006805,swebench-lite
2,20231010_rag_claude2,20231010_rag_swellama7b,300.0,0.03,0.013333333333333334,13.0,5.0,0.012018504251546632,0.266845703125,0.0,0.011979921473804347,0.011979921473804347,-0.020443671806033,swebench-lite
3,20231010_rag_claude2,20240402_rag_claude3opus,300.0,0.03,0.043333333333333335,12.0,-4.0,0.011547005383792516,0.3876953125,0.0,0.011521316797169534,0.011521316797169529,0.4424271870118181,swebench-lite
4,20231010_rag_claude2,20240402_rag_gpt4,300.0,0.03,0.02666666666666667,15.0,1.0,0.012909944487358056,1.0,0.0,0.012908509969381815,0.012908509969381813,0.09217872114192582,swebench-lite
5,20231010_rag_claude2,20240402_sweagent_claude3opus,300.0,0.03,0.11666666666666667,36.0,-26.0,0.02,1.2913485988974571e-05,0.0,0.019363960415239516,0.01936396041523952,0.17956370689010387,swebench-lite
6,20231010_rag_gpt35,20231010_rag_claude2,300.0,0.0033333333333333335,0.03,8.0,-8.0,0.009428090415820635,0.0078125,0.0,0.009301533127313934,0.009301533127313933,0.3288437905343839,swebench-lite
7,20231010_rag_gpt35,20231010_rag_swellama13b,300.0,0.0033333333333333335,0.01,4.0,-2.0,0.006666666666666667,0.625,0.0,0.006655546280831972,0.006655546280831972,-0.005812283757551316,swebench-lite
8,20231010_rag_gpt35,20231010_rag_swellama7b,300.0,0.0033333333333333335,0.013333333333333334,5.0,-3.0,0.007453559924999299,0.375,0.0,0.007431165603202652,0.007431165603202651,-0.006722774529136821,swebench-lite
9,20231010_rag_gpt35,20240402_rag_claude3opus,300.0,0.0033333333333333335,0.043333333333333335,14.0,-12.0,0.012472191289246471,0.0018310546875,0.0,0.012256517540566825,0.012256517540566824,-0.012308216692591722,swebench-lite
10,20231010_rag_gpt35,20240402_rag_gpt4,300.0,0.0033333333333333335,0.02666666666666667,9.0,-7.0,0.01,0.0390625,0.0,0.009908843786496244,0.009908843786496244,-0.00957233686323876,swebench-lite
11,20231010_rag_swellama13b,20231010_rag_claude2,300.0,0.01,0.03,12.0,-6.0,0.011547005383792516,0.14599609375,0.0,0.011489125293076056,0.011489125293076056,-0.017674908041006805,swebench-lite
12,20231010_rag_swellama13b,20231010_rag_gpt35,300.0,0.01,0.0033333333333333335,4.0,2.0,0.006666666666666667,0.625,0.0,0.006655546280831972,0.006655546280831972,-0.005812283757551315,swebench-lite
13,20231010_rag_swellama13b,20231010_rag_swellama7b,300.0,0.01,0.013333333333333334,5.0,-1.0,0.007453559924999299,1.0,0.0,0.00745107499079955,0.007451074990799551,0.2803998548931122,swebench-lite
14,20231010_rag_swellama13b,20240402_rag_claude3opus,300.0,0.01,0.043333333333333335,14.0,-10.0,0.012472191289246471,0.012939453125,0.0,0.012322818340454908,0.012322818340454908,0.1431492347815118,swebench-lite
15,20231010_rag_swellama13b,20240402_rag_gpt4,300.0,0.01,0.02666666666666667,11.0,-5.0,0.011055415967851335,0.2265625,0.0,0.011013459778666117,0.011013459778666116,-0.01663550428353166,swebench-lite
16,20231010_rag_swellama7b,20231010_rag_claude2,300.0,0.013333333333333334,0.03,13.0,-5.0,0.012018504251546632,0.266845703125,0.0,0.011979921473804347,0.011979921473804347,-0.020443671806033,swebench-lite
17,20231010_rag_swellama7b,20231010_rag_gpt35,300.0,0.013333333333333334,0.0033333333333333335,5.0,3.0,0.007453559924999299,0.375,0.0,0.007431165603202652,0.007431165603202651,-0.006722774529136821,swebench-lite
18,20231010_rag_swellama7b,20231010_rag_swellama13b,300.0,0.013333333333333334,0.01,5.0,1.0,0.007453559924999299,1.0,0.0,0.00745107499079955,0.007451074990799551,0.2803998548931122,swebench-lite
19,20231010_rag_swellama7b,20240402_rag_claude3opus,300.0,0.013333333333333334,0.043333333333333335,17.0,-9.0,0.013743685418725535,0.049041748046875,0.0,0.013634107557478372,0.013634107557478374,-0.024740864338335555,swebench-lite
20,20231010_rag_swellama7b,20240402_rag_gpt4,300.0,0.013333333333333334,0.02666666666666667,12.0,-4.0,0.011547005383792516,0.3876953125,0.0,0.011521316797169534,0.01152131679716953,-0.0192414460721011,swebench-lite
21,20240402_rag_claude3opus,20231010_rag_claude2,300.0,0.043333333333333335,0.03,12.0,4.0,0.011547005383792516,0.3876953125,0.0,0.011521316797169534,0.011521316797169529,0.4424271870118181,swebench-lite
22,20240402_rag_claude3opus,20231010_rag_gpt35,300.0,0.043333333333333335,0.0033333333333333335,14.0,12.0,0.012472191289246471,0.0018310546875,0.0,0.012256517540566825,0.012256517540566824,-0.012308216692591724,swebench-lite
23,20240402_rag_claude3opus,20231010_rag_swellama13b,300.0,0.043333333333333335,0.01,14.0,10.0,0.012472191289246471,0.012939453125,0.0,0.012322818340454908,0.012322818340454908,0.14314923478151179,swebench-lite
24,20240402_rag_claude3opus,20231010_rag_swellama7b,300.0,0.043333333333333335,0.013333333333333334,17.0,9.0,0.013743685418725535,0.049041748046875,0.0,0.013634107557478372,0.013634107557478374,-0.024740864338335555,swebench-lite
25,20240402_rag_claude3opus,20240402_rag_gpt4,300.0,0.043333333333333335,0.02666666666666667,15.0,5.0,0.012909944487358056,0.30175781249999994,0.0,0.012874033584729409,0.012874033584729409,0.2696274000863984,swebench-lite
26,20240402_rag_claude3opus,20240402_sweagent_claude3opus,300.0,0.043333333333333335,0.11666666666666667,32.0,-22.0,0.01885618083164127,0.00011307420209050179,0.0,0.018374700803812552,0.018374700803812552,0.3306359114906757,swebench-lite
27,20240402_rag_gpt4,20231010_rag_claude2,300.0,0.02666666666666667,0.03,15.0,-1.0,0.012909944487358056,1.0,0.0,0.012908509969381815,0.012908509969381813,0.09217872114192584,swebench-lite
28,20240402_rag_gpt4,20231010_rag_gpt35,300.0,0.02666666666666667,0.0033333333333333335,9.0,7.0,0.01,0.0390625,0.0,0.009908843786496244,0.009908843786496244,-0.00957233686323876,swebench-lite
29,20240402_rag_gpt4,20231010_rag_swellama13b,300.0,0.02666666666666667,0.01,11.0,5.0,0.011055415967851335,0.2265625,0.0,0.011013459778666117,0.011013459778666116,-0.01663550428353166,swebench-lite
30,20240402_rag_gpt4,20231010_rag_swellama7b,300.0,0.02666666666666667,0.013333333333333334,12.0,4.0,0.011547005383792516,0.3876953125,0.0,0.011521316797169534,0.01152131679716953,-0.0192414460721011,swebench-lite
