,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
2511,llama-3.1-70B-instruct,ap_cot,1.0,-1,0,4,4,1.0
2512,llama-3.1-70B-instruct,ap_cot,1.0,-1,1,4,4,1.0
2513,llama-3.1-70B-instruct,ap_cot,1.0,-1,2,4,4,1.0
2514,llama-3.1-70B-instruct,ap_cot,1.0,-1,3,4,4,1.0
2515,llama-3.1-70B-instruct,ap_cot,1.0,-1,4,4,4,1.0
2516,llama-3.1-70B-instruct,ap_cot,1.0,-1,5,4,4,1.0
2517,llama-3.1-70B-instruct,ap_cot,1.0,-1,6,4,4,1.0
2518,llama-3.1-70B-instruct,ap_cot,1.0,-1,7,4,4,1.0
2519,llama-3.1-70B-instruct,ap_cot,1.0,-1,8,4,4,1.0
2520,llama-3.1-70B-instruct,ap_cot,1.0,-1,9,4,4,1.0
2521,llama-3.1-70B-instruct,ap_cot,1.0,-1,10,4,4,1.0
2522,llama-3.1-70B-instruct,ap_cot,1.0,-1,11,4,4,1.0
2523,llama-3.1-70B-instruct,ap_cot,1.0,-1,12,4,4,1.0
2524,llama-3.1-70B-instruct,ap_cot,1.0,-1,13,4,4,1.0
2525,llama-3.1-70B-instruct,ap_cot,1.0,-1,14,4,4,1.0
2526,llama-3.1-70B-instruct,ap_cot,1.0,-1,15,4,4,1.0
2527,llama-3.1-70B-instruct,ap_cot,1.0,-1,16,4,4,1.0
2528,llama-3.1-70B-instruct,ap_cot,1.0,-1,17,4,0,0.0
2529,llama-3.1-70B-instruct,ap_cot,1.0,-1,18,4,4,1.0
2530,llama-3.1-70B-instruct,ap_cot,1.0,-1,19,4,4,1.0
2531,llama-3.1-70B-instruct,ap_cot,1.0,-1,20,4,4,1.0
2532,llama-3.1-70B-instruct,ap_cot,1.0,-1,21,4,4,1.0
2533,llama-3.1-70B-instruct,ap_cot,1.0,-1,22,4,4,1.0
2534,llama-3.1-70B-instruct,ap_cot,1.0,-1,23,4,4,1.0
2535,llama-3.1-70B-instruct,ap_cot,1.0,-1,24,4,0,0.0
2536,llama-3.1-70B-instruct,ap_cot,1.0,-1,25,4,4,1.0
2537,llama-3.1-70B-instruct,ap_cot,1.0,-1,26,4,4,1.0
2538,llama-3.1-70B-instruct,ap_cot,1.0,-1,27,4,4,1.0
2539,llama-3.1-70B-instruct,ap_cot,1.0,-1,28,4,4,1.0
2540,llama-3.1-70B-instruct,ap_cot,1.0,-1,29,4,4,1.0
2541,llama-3.1-70B-instruct,ap_cot,1.0,-1,30,4,4,1.0
2542,llama-3.1-70B-instruct,ap_cot,1.0,-1,31,4,4,1.0
2543,llama-3.1-70B-instruct,ap_cot,1.0,-1,32,4,4,1.0
2544,llama-3.1-70B-instruct,ap_cot,1.0,-1,33,4,0,0.0
2545,llama-3.1-70B-instruct,ap_cot,1.0,-1,34,4,4,1.0
2546,llama-3.1-70B-instruct,ap_cot,1.0,-1,35,4,4,1.0
2547,llama-3.1-70B-instruct,ap_cot,1.0,-1,36,4,4,1.0
2548,llama-3.1-70B-instruct,ap_cot,1.0,-1,37,4,0,0.0
2549,llama-3.1-70B-instruct,ap_cot,1.0,-1,38,4,0,0.0
2550,llama-3.1-70B-instruct,ap_cot,1.0,-1,39,4,4,1.0
