,example_id,min_elo,num_solved,models,acc,tau,example_link
0,gsm8k/1077,1153.44555195033,3,['Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B' 'DeepSeek-V2'],0.08108108108108109,0.36092498331306616,gsm8k/1077
1,gsm8k/991,1077.3953346508738,8,"['Meta-Llama-3-70B' 'deepseek-llm-67b-base' 'Qwen1.5-7B' 'Qwen1.5-72B'
 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'DeepSeek-V2']",0.21621621621621623,0.5422814995794187,gsm8k/991
2,gsm8k/1196,889.8163377369381,23,"['stablelm-3b-4e1t' 'mpt-30b' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1'
 'Mistral-7B-v0.1' 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B'
 'Qwen1.5-4B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'Qwen1.5-0.5B'
 'DeepSeek-V2' 'llama2_07B' 'llama2_13B' 'llama2_70B' 'llama_33B'
 'llama_65B']",0.6216216216216216,0.5791566342096494,gsm8k/1196
3,gsm8k/674,1061.5798476258085,8,"['Mixtral-8x22B-v0.1' 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'dbrx-base'
 'Qwen1.5-7B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'DeepSeek-V2']",0.21621621621621623,0.4506282883828973,gsm8k/674
4,gsm8k/893,903.355074514129,23,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-moe-16b-base'
 'deepseek-llm-7b-base' 'deepseek-llm-67b-base' 'Qwen1.5-7B' 'Qwen1.5-72B'
 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B'
 'Qwen1.5-0.5B' 'falcon-40b' 'DeepSeek-V2' 'llama2_13B' 'llama2_70B'
 'llama_33B' 'llama_65B']",0.6216216216216216,0.5856397308612499,gsm8k/893
5,gsm8k/1063,991.9904557110244,16,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-8B'
 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-llm-67b-base' 'Qwen1.5-72B'
 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B'
 'DeepSeek-V2' 'llama2_13B' 'llama2_70B' 'llama_65B']",0.43243243243243246,0.6325439801784594,gsm8k/1063
6,gsm8k/22,853.1390381017993,23,"['stablelm-base-alpha-7b-v2' 'mpt-30b' 'Mixtral-8x7B-v0.1'
 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1' 'Meta-Llama-3-8B'
 'Meta-Llama-3-70B' 'gemma-7b' 'gemma-2b' 'deepseek-llm-67b-base'
 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'pythia-2.8b-deduped'
 'pythia-1.4b-deduped-v0' 'DeepSeek-V2' 'llama2_13B' 'llama2_70B'
 'llama_65B']",0.6216216216216216,0.5013594743904427,gsm8k/22
7,gsm8k/962,917.2838338302037,6,"['Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-14B' 'Qwen1.5-110B'
 'llama_13B']",0.16216216216216217,0.27580646343268067,gsm8k/962
8,gsm8k/264,930.427871722844,19,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-llm-67b-base'
 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'Qwen1.5-0.5B' 'DeepSeek-V2'
 'llama2_70B' 'llama_33B']",0.5135135135135135,0.6751993196590785,gsm8k/264
9,gsm8k/1137,,0,[],0.0,,gsm8k/1137
