,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
224,llama-3.2-1B-instruct,math500_cot,0.7,-1,0,1100,632,0.5745454545
225,llama-3.2-1B-instruct,math500_cot,0.7,-1,1,1100,1,0.0009090909
226,llama-3.2-1B-instruct,math500_cot,0.7,-1,2,1100,812,0.7381818182
227,llama-3.2-1B-instruct,math500_cot,0.7,-1,3,1100,883,0.8027272727
228,llama-3.2-1B-instruct,math500_cot,0.7,-1,4,1100,23,0.0209090909
229,llama-3.2-1B-instruct,math500_cot,0.7,-1,5,1100,552,0.5018181818
230,llama-3.2-1B-instruct,math500_cot,0.7,-1,6,1100,234,0.2127272727
231,llama-3.2-1B-instruct,math500_cot,0.7,-1,7,1100,21,0.0190909091
232,llama-3.2-1B-instruct,math500_cot,0.7,-1,8,1100,1072,0.9745454545
233,llama-3.2-1B-instruct,math500_cot,0.7,-1,9,1100,150,0.1363636364
234,llama-3.2-1B-instruct,math500_cot,0.7,-1,10,1100,1,0.0009090909
235,llama-3.2-1B-instruct,math500_cot,0.7,-1,11,1100,0,0.0
236,llama-3.2-1B-instruct,math500_cot,0.7,-1,12,1100,1,0.0009090909
237,llama-3.2-1B-instruct,math500_cot,0.7,-1,13,1100,1082,0.9836363636
238,llama-3.2-1B-instruct,math500_cot,0.7,-1,14,1100,4,0.0036363636
239,llama-3.2-1B-instruct,math500_cot,0.7,-1,15,1100,0,0.0
240,llama-3.2-1B-instruct,math500_cot,0.7,-1,16,1100,345,0.3136363636
241,llama-3.2-1B-instruct,math500_cot,0.7,-1,17,1100,109,0.0990909091
242,llama-3.2-1B-instruct,math500_cot,0.7,-1,18,1100,130,0.1181818182
243,llama-3.2-1B-instruct,math500_cot,0.7,-1,19,1100,182,0.1654545455
244,llama-3.2-1B-instruct,math500_cot,0.7,-1,20,1100,917,0.8336363636
245,llama-3.2-1B-instruct,math500_cot,0.7,-1,21,1100,0,0.0
246,llama-3.2-1B-instruct,math500_cot,0.7,-1,22,1100,16,0.0145454545
247,llama-3.2-1B-instruct,math500_cot,0.7,-1,23,1100,170,0.1545454545
248,llama-3.2-1B-instruct,math500_cot,0.7,-1,24,1100,17,0.0154545455
249,llama-3.2-1B-instruct,math500_cot,0.7,-1,25,1100,117,0.1063636364
250,llama-3.2-1B-instruct,math500_cot,0.7,-1,26,1100,18,0.0163636364
251,llama-3.2-1B-instruct,math500_cot,0.7,-1,27,1100,18,0.0163636364
252,llama-3.2-1B-instruct,math500_cot,0.7,-1,28,1100,962,0.8745454545
253,llama-3.2-1B-instruct,math500_cot,0.7,-1,29,1100,348,0.3163636364
254,llama-3.2-1B-instruct,math500_cot,0.7,-1,30,1100,533,0.4845454545
255,llama-3.2-1B-instruct,math500_cot,0.7,-1,31,1100,743,0.6754545455
256,llama-3.2-1B-instruct,math500_cot,0.7,-1,32,1100,337,0.3063636364
257,llama-3.2-1B-instruct,math500_cot,0.7,-1,33,1100,19,0.0172727273
258,llama-3.2-1B-instruct,math500_cot,0.7,-1,34,1100,53,0.0481818182
259,llama-3.2-1B-instruct,math500_cot,0.7,-1,35,1100,189,0.1718181818
260,llama-3.2-1B-instruct,math500_cot,0.7,-1,36,1100,16,0.0145454545
