,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
1660,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,0,4,0,0.0
1661,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,1,4,4,1.0
1662,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,2,4,4,1.0
1663,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,3,4,0,0.0
1664,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,4,4,0,0.0
1665,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,5,4,4,1.0
1666,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,6,4,0,0.0
1667,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,7,4,0,0.0
1668,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,8,4,0,0.0
1669,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,9,4,0,0.0
1670,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,10,4,0,0.0
1671,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,11,4,0,0.0
1672,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,12,4,4,1.0
1673,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,13,4,4,1.0
1674,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,14,4,4,1.0
1675,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,15,4,4,1.0
1676,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,16,4,4,1.0
1677,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,17,4,4,1.0
1678,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,18,4,4,1.0
1679,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,19,4,4,1.0
1680,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,20,4,4,1.0
1681,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,21,4,4,1.0
1682,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,22,4,0,0.0
1683,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,23,4,0,0.0
1684,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,24,4,0,0.0
1685,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,25,4,0,0.0
1686,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,26,4,0,0.0
1687,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,27,4,0,0.0
1688,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,28,4,4,1.0
1689,llama-3.1-70B-instruct,gpqa_cot,1.0,-1,29,4,0,0.0
