,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
2355,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,0,13,7,0.5384615385
2356,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,1,13,0,0.0
2357,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,2,13,5,0.3846153846
2358,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,3,13,1,0.0769230769
2359,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,4,13,2,0.1538461538
2360,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,5,13,0,0.0
2361,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,6,13,0,0.0
2362,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,7,13,3,0.2307692308
2363,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,8,13,7,0.5384615385
2364,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,9,13,4,0.3076923077
2365,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,10,13,1,0.0769230769
2366,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,11,13,4,0.3076923077
2367,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,12,13,0,0.0
2368,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,13,13,0,0.0
2369,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,14,13,1,0.0769230769
2370,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,15,13,3,0.2307692308
2371,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,16,13,0,0.0
2372,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,17,13,0,0.0
2373,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,18,13,0,0.0
2374,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,19,13,1,0.0769230769
2375,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,20,13,1,0.0769230769
2376,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,21,13,2,0.1538461538
2377,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,22,13,2,0.1538461538
2378,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,23,13,7,0.5384615385
2379,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,24,13,1,0.0769230769
2380,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,25,13,0,0.0
2381,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,26,13,1,0.0769230769
2382,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,27,13,1,0.0769230769
2383,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,28,13,6,0.4615384615
2384,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,29,13,4,0.3076923077
2385,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,30,13,1,0.0769230769
2386,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,31,13,4,0.3076923077
2387,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,32,13,2,0.1538461538
2388,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,33,13,6,0.4615384615
2389,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,34,13,1,0.0769230769
2390,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,35,13,1,0.0769230769
2391,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,36,13,2,0.1538461538
2392,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,37,13,7,0.5384615385
2393,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,38,13,3,0.2307692308
2394,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,39,13,2,0.1538461538
2395,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,40,13,1,0.0769230769
2396,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,41,13,0,0.0
2397,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,42,13,0,0.0
2398,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,43,13,3,0.2307692308
2399,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,44,13,0,0.0
2400,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,45,13,3,0.2307692308
2401,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,46,13,0,0.0
2402,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,47,13,4,0.3076923077
2403,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,48,13,4,0.3076923077
2404,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,49,13,4,0.3076923077
2405,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,50,13,2,0.1538461538
2406,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,51,13,1,0.0769230769
2407,qwen1.5-0.5b-chat,jeebench_chat_cot,0.7,-1,52,13,5,0.3846153846
