,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,astropy__astropy-12907,0.11666666666666667,44,"['20240402_sweagent_claude3opus' '20240612_IBM_Research_Agent101'
 '20240615_appmap-navie_gpt4o' '20240622_Lingma_Agent'
 '20240630_agentless_gpt4o' '20240702_codestory_aide_mixed'
 '20240723_marscode-agent-dev'
 '20240725_opendevin_codeact_v1.8_claude35sonnet'
 '20240808_RepoGraph_gpt4o' '20240912_marscode-agent-dev'
 '20241025_OpenHands-CodeAct-2.1-sonnet-20241022'
 '20241028_agentless-1.5_gpt4o' '20241111_codeshelltester_gpt4o'
 '20241113_navie-2-gpt4o-sonnet'
 '20241117_moatless_claude-3.5-sonnet-20241022'
 '20241117_reproducedRG_gpt4o' '20241122_devlo'
 '20241127_globant_codefixer_agent'
 '20241203_KortixAI-AgentPress-sonnet-20241022' '20241208_gru'
 '20241220_PatchKitty-0.9_claude-3.5-sonnet-20241022'
 '20241220_blackboxai_agent_v1' '20250104_codefuse-aais'
 '20250104_patched_codes_claude-3.5-sonnet-20241022'
 '20250113_OpenCSG-Starship-Agentic-Coder_gpt4o'
 '20250205_dars_agent_claude_3.5_sonnet_deepseek_r1'
 '20250207_aegis_o3mini' '20250226_sweagent_claude-3-7-sonnet-20250219'
 '20250310_codefuse-cgm' '20250425_Refact_Agent'
 '20250509_Lingxi_claude-3-5-sonnet-20241022' '20250515_codartai'
 '20250526_sweagent_claude-4-sonnet-20250514'
 '20250609_KGCompass_deepseek-v3' '20250613_ExpeRepair-v1.0'
 '20250528_Codev' '20250619_KGCompass_claude-3.5-sonnet-20241022'
 '20250625_ExpeRepair-v1_claude-4-sonnet-20250514'
 '20250625_SemAgent_Multi-v1_Claude3.7Sonnet_Gemini2.5Pro'
 '20250627_agentless_MCTS-Refine-7B'
 '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts'
 '20250906_KGCompass_claude-4-sonnet-20250514'
 '20250911_isea_claude-3.5-sonnet-20241022']",0.5238095238095238,0.5238095238095238,0.4347187807888645,astropy__astropy-12907
1,astropy__astropy-14182,0.43,1,['20240702_codestory_aide_mixed'],0.011904761904761904,0.011904761904761904,0.08014747874280162,astropy__astropy-14182
2,astropy__astropy-14365,0.38,4,"['20240627_abanteai_mentatbot_gpt4o' '20240702_codestory_aide_mixed'
 '20250515_codartai'
 '20250625_SemAgent_Multi-v1_Claude3.7Sonnet_Gemini2.5Pro']",0.047619047619047616,0.047619047619047616,0.16232356671604614,astropy__astropy-14365
3,astropy__astropy-14995,0.11666666666666667,69,"['20240402_sweagent_claude3opus' '20240402_sweagent_gpt4'
 '20240509_amazon-q-developer-agent-20240430-dev'
 '20240524_opencsg_starship_gpt4' '20240612_IBM_Research_Agent101'
 '20240612_MASAI_gpt4o' '20240615_appmap-navie_gpt4o'
 '20240617_factory_code_droid' '20240617_moatless_gpt4o'
 '20240620_sweagent_claude3.5sonnet' '20240621_autocoderover-v20240620'
 '20240622_Lingma_Agent' '20240623_moatless_claude35sonnet'
 '20240627_abanteai_mentatbot_gpt4o' '20240702_codestory_aide_mixed'
 '20240706_sima_gpt4o' '20240721_amazon-q-developer-agent-20240719-dev'
 '20240723_marscode-agent-dev'
 '20240725_opendevin_codeact_v1.8_claude35sonnet'
 '20240728_sweagent_gpt4o' '20240806_SuperCoder2.0' '20240811_gru'
 '20240820_honeycomb' '20240828_autose_mixed' '20240829_Isoform'
 '20240908_infant_gpt4o' '20240912_marscode-agent-dev'
 '20240925_hyperagent_lite1' '20241016_IBM-SWE-1.0'
 '20241025_OpenHands-CodeAct-2.1-sonnet-20241022'
 '20241028_agentless-1.5_gpt4o' '20241030_composio_swekit'
 '20241113_navie-2-gpt4o-sonnet'
 '20241117_moatless_claude-3.5-sonnet-20241022'
 '20241117_reproducedRG_gpt4o' '20241122_devlo'
 '20241127_globant_codefixer_agent'
 '20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128'
 '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241203_KortixAI-AgentPress-sonnet-20241022' '20241208_gru'
 '20241220_blackboxai_agent_v1' '20250104_codefuse-aais'
 '20250104_patched_codes_claude-3.5-sonnet-20241022'
 '20250111_moatless_deepseek_v3'
 '20250113_OpenCSG-Starship-Agentic-Coder_gpt4o' '20250113_OrcaLoca'
 '20250114_Isoform' '20250114_moatless_claude-3.5-sonnet-20241022'
 '20250205_dars_agent_claude_3.5_sonnet_deepseek_r1'
 '20250207_aegis_o3mini' '20250214_agentless_lite_o3_mini'
 '20250226_sweagent_claude-3-7-sonnet-20250219'
 '20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor'
 '20250425_Refact_Agent' '20250509_Lingxi_claude-3-5-sonnet-20241022'
 '20250515_codartai' '20250526_sweagent_claude-4-sonnet-20250514'
 '20250609_KGCompass_deepseek-v3' '20250613_ExpeRepair-v1.0'
 '20250528_Codev' '20250619_KGCompass_claude-3.5-sonnet-20241022'
 '20250625_ExpeRepair-v1_claude-4-sonnet-20250514'
 '20250625_SemAgent_Multi-v1_Claude3.7Sonnet_Gemini2.5Pro'
 '20250627_agentless_MCTS-Refine-7B'
 '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts'
 '20250906_KGCompass_claude-4-sonnet-20250514'
 '20250911_isea_claude-3.5-sonnet-20241022']",0.8214285714285714,0.8214285714285714,0.2808031097009256,astropy__astropy-14995
4,astropy__astropy-6938,0.19,38,"['20240530_autocoderover-v20240408' '20240612_MASAI_gpt4o'
 '20240617_factory_code_droid' '20240702_codestory_aide_mixed'
 '20240721_amazon-q-developer-agent-20240719-dev' '20240811_gru'
 '20240820_honeycomb' '20240908_infant_gpt4o' '20241030_composio_swekit'
 '20241113_navie-2-gpt4o-sonnet'
 '20241117_moatless_claude-3.5-sonnet-20241022' '20241122_devlo'
 '20241127_globant_codefixer_agent'
 '20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128'
 '20241203_KortixAI-AgentPress-sonnet-20241022' '20241208_gru'
 '20241220_PatchKitty-0.9_claude-3.5-sonnet-20241022'
 '20241220_blackboxai_agent_v1' '20250104_codefuse-aais'
 '20250113_OpenCSG-Starship-Agentic-Coder_gpt4o' '20250113_OrcaLoca'
 '20250114_Isoform' '20250114_moatless_claude-3.5-sonnet-20241022'
 '20250205_dars_agent_claude_3.5_sonnet_deepseek_r1'
 '20250214_agentless_lite_o3_mini'
 '20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor'
 '20250425_Refact_Agent' '20250515_codartai'
 '20250526_sweagent_claude-4-sonnet-20250514'
 '20250609_KGCompass_deepseek-v3' '20250613_ExpeRepair-v1.0'
 '20250528_Codev' '20250619_KGCompass_claude-3.5-sonnet-20241022'
 '20250625_ExpeRepair-v1_claude-4-sonnet-20250514'
 '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts'
 '20250906_KGCompass_claude-4-sonnet-20250514'
 '20250911_isea_claude-3.5-sonnet-20241022']",0.4523809523809524,0.4523809523809524,0.4487991435412123,astropy__astropy-6938
5,astropy__astropy-7746,,0,[],0.0,0.0,,astropy__astropy-7746
6,django__django-10914,0.03,71,"['20231010_rag_claude2' '20240402_rag_claude3opus'
 '20240402_sweagent_claude3opus' '20240402_sweagent_gpt4'
 '20240509_amazon-q-developer-agent-20240430-dev'
 '20240524_opencsg_starship_gpt4' '20240604_CodeR'
 '20240612_IBM_Research_Agent101' '20240612_MASAI_gpt4o'
 '20240617_factory_code_droid' '20240617_moatless_gpt4o'
 '20240620_sweagent_claude3.5sonnet' '20240621_autocoderover-v20240620'
 '20240622_Lingma_Agent' '20240623_moatless_claude35sonnet'
 '20240630_agentless_gpt4o' '20240702_codestory_aide_mixed'
 '20240706_sima_gpt4o' '20240723_marscode-agent-dev'
 '20240725_opendevin_codeact_v1.8_claude35sonnet'
 '20240808_RepoGraph_gpt4o' '20240811_gru' '20240820_honeycomb'
 '20240828_autose_mixed' '20240829_Isoform' '20240908_infant_gpt4o'
 '20240912_marscode-agent-dev' '20240925_hyperagent_lite1'
 '20241016_IBM-SWE-1.0' '20241025_OpenHands-CodeAct-2.1-sonnet-20241022'
 '20241028_agentless-1.5_gpt4o' '20241030_composio_swekit'
 '20241111_codeshelltester_gpt4o' '20241113_navie-2-gpt4o-sonnet'
 '20241117_moatless_claude-3.5-sonnet-20241022'
 '20241117_reproducedRG_gpt4o' '20241122_devlo'
 '20241127_globant_codefixer_agent'
 '20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128'
 '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241203_KortixAI-AgentPress-sonnet-20241022' '20241207_kodu_sonnet_v1'
 '20241208_gru' '20241220_PatchKitty-0.9_claude-3.5-sonnet-20241022'
 '20241220_blackboxai_agent_v1'
 '20250104_patched_codes_claude-3.5-sonnet-20241022'
 '20250111_moatless_deepseek_v3'
 '20250113_OpenCSG-Starship-Agentic-Coder_gpt4o' '20250113_OrcaLoca'
 '20250114_Isoform' '20250114_moatless_claude-3.5-sonnet-20241022'
 '20250205_dars_agent_claude_3.5_sonnet_deepseek_r1'
 '20250207_aegis_o3mini' '20250214_agentless_lite_o3_mini'
 '20250226_sweagent_claude-3-7-sonnet-20250219'
 '20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor'
 '20250310_codefuse-cgm' '20250425_Refact_Agent'
 '20250509_Lingxi_claude-3-5-sonnet-20241022' '20250515_codartai'
 '20250526_sweagent_claude-4-sonnet-20250514'
 '20250609_KGCompass_deepseek-v3' '20250613_ExpeRepair-v1.0'
 '20250528_Codev' '20250619_KGCompass_claude-3.5-sonnet-20241022'
 '20250625_ExpeRepair-v1_claude-4-sonnet-20250514'
 '20250625_SemAgent_Multi-v1_Claude3.7Sonnet_Gemini2.5Pro'
 '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts'
 '20250906_KGCompass_claude-4-sonnet-20250514'
 '20250911_isea_claude-3.5-sonnet-20241022']",0.8452380952380952,0.8452380952380952,0.3415079478019193,django__django-10914
7,django__django-10924,0.26666666666666666,27,"['20240612_IBM_Research_Agent101' '20240617_factory_code_droid'
 '20240723_marscode-agent-dev' '20240820_honeycomb'
 '20240912_marscode-agent-dev'
 '20241025_OpenHands-CodeAct-2.1-sonnet-20241022' '20241122_devlo'
 '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241203_KortixAI-AgentPress-sonnet-20241022'
 '20241220_PatchKitty-0.9_claude-3.5-sonnet-20241022'
 '20241220_blackboxai_agent_v1' '20250104_codefuse-aais'
 '20250104_patched_codes_claude-3.5-sonnet-20241022' '20250113_OrcaLoca'
 '20250114_Isoform' '20250114_moatless_claude-3.5-sonnet-20241022'
 '20250205_dars_agent_claude_3.5_sonnet_deepseek_r1'
 '20250214_agentless_lite_o3_mini'
 '20250226_sweagent_claude-3-7-sonnet-20250219' '20250425_Refact_Agent'
 '20250515_codartai' '20250526_sweagent_claude-4-sonnet-20250514'
 '20250609_KGCompass_deepseek-v3'
 '20250619_KGCompass_claude-3.5-sonnet-20241022'
 '20250625_ExpeRepair-v1_claude-4-sonnet-20250514'
 '20250906_KGCompass_claude-4-sonnet-20250514'
 '20250911_isea_claude-3.5-sonnet-20241022']",0.32142857142857145,0.32142857142857145,0.41553956300079803,django__django-10924
8,django__django-11001,0.23666666666666666,40,"['20240524_opencsg_starship_gpt4' '20240604_CodeR'
 '20240612_IBM_Research_Agent101' '20240621_autocoderover-v20240620'
 '20240622_Lingma_Agent' '20240623_moatless_claude35sonnet'
 '20240627_abanteai_mentatbot_gpt4o' '20240702_codestory_aide_mixed'
 '20240725_opendevin_codeact_v1.8_claude35sonnet' '20240811_gru'
 '20240820_honeycomb' '20240829_Isoform' '20241016_IBM-SWE-1.0'
 '20241025_OpenHands-CodeAct-2.1-sonnet-20241022'
 '20241030_composio_swekit' '20241113_navie-2-gpt4o-sonnet'
 '20241122_devlo' '20241127_globant_codefixer_agent'
 '20241202_agentless-1.5_claude-3.5-sonnet-20241022'
 '20241207_kodu_sonnet_v1'
 '20241220_PatchKitty-0.9_claude-3.5-sonnet-20241022'
 '20241220_blackboxai_agent_v1'
 '20250113_OpenCSG-Starship-Agentic-Coder_gpt4o' '20250114_Isoform'
 '20250205_dars_agent_claude_3.5_sonnet_deepseek_r1'
 '20250207_aegis_o3mini' '20250214_agentless_lite_o3_mini'
 '20250310_codefuse-cgm' '20250425_Refact_Agent'
 '20250509_Lingxi_claude-3-5-sonnet-20241022' '20250515_codartai'
 '20250526_sweagent_claude-4-sonnet-20250514' '20250613_ExpeRepair-v1.0'
 '20250528_Codev' '20250625_ExpeRepair-v1_claude-4-sonnet-20250514'
 '20250625_SemAgent_Multi-v1_Claude3.7Sonnet_Gemini2.5Pro'
 '20250901_entroPO_R2E_QwenCoder30BA3B'
 '20250901_entroPO_R2E_QwenCoder30BA3B_tts'
 '20250906_KGCompass_claude-4-sonnet-20250514'
 '20250911_isea_claude-3.5-sonnet-20241022']",0.47619047619047616,0.47619047619047616,0.4800525828823028,django__django-11001
9,django__django-11019,,0,[],0.0,0.0,,django__django-11019
