,model,pass1,std(E(A)),E(std(A)),std(A),N,win_rate,elo
17,claude-3-opus-20240229,0.8292682926829268,0.029382090886107035,0.0,0.029382090886107035,,0.36482420019005385,1126.667129676904
31,deepseek-coder-33b-instruct,0.8170731707317073,0.03018889761215949,0.0,0.03018889761215949,,0.3595977193538169,1121.7192878187504
59,opencodeinterpreter-ds-33b,0.774390243902439,0.03263900797780726,0.0,0.03263900797780726,,0.32736775419702246,1104.7147143995971
64,speechless-codellama-34b,0.774390243902439,0.03263900797780726,0.0,0.03263900797780726,,0.322695597085841,1104.7147143995971
48,meta-llama-3-70b-instruct,0.774390243902439,0.03263900797780726,0.0,0.03263900797780726,,0.3235666772252138,1104.7147143995971
16,claude-3-haiku-20240307,0.7682926829268293,0.03294665276754077,0.0,0.03294665276754077,,0.32768451061133985,1102.3216805616419
40,gpt-3.5-turbo,0.7682926829268293,0.03294665276754077,0.0,0.03294665276754077,,0.3246753246753247,1102.3216805616419
53,mixtral-8x22b-instruct-v0.1,0.7621951219512195,0.03324463261510531,0.0,0.03324463261510532,,0.32348748812163447,1099.936932064771
33,deepseek-coder-7b-instruct-v1.5,0.7560975609756098,0.033533205172793026,0.0,0.03353320517279303,,0.3118466898954704,1097.5602247200036
77,xwincoder-34b,0.7560975609756098,0.033533205172793026,0.0,0.03353320517279303,,0.3118466898954704,1097.5602247200036
32,deepseek-coder-6.7b-instruct,0.7439024390243902,0.0340830764311544,0.0,0.034083076431154394,,0.32111181501425407,1092.829975888371
24,code-millenials-34b,0.7439024390243902,0.0340830764311544,0.0,0.034083076431154394,,0.313588850174216,1092.829975888371
60,opencodeinterpreter-ds-6.7b,0.7439024390243902,0.034083076431154394,0.0,0.034083076431154394,,0.30091859360152046,1092.829975888371
0,HuggingFaceH4--starchat2-15b-v0.1,0.7378048780487805,0.034344811797648304,0.0,0.034344811797648304,,0.3029775102945835,1090.4759649831685
58,openchat,0.725609756097561,0.03484287360681495,0.0,0.034842873606814956,,0.29197022489705415,1085.789024067174
73,white-rabbit-neo-33b-v1,0.7195121951219512,0.03507956080884013,0.0,0.03507956080884013,,0.29244535951853023,1083.4556462723847
21,code-llama-70b-instruct,0.7195121951219512,0.03507956080884013,0.0,0.03507956080884013,,0.291019955654102,1083.4556462723847
25,codebooga-34b,0.7134146341463414,0.03530824144899642,0.0,0.03530824144899643,,0.28104212860310424,1081.1287041500002
65,speechless-coder-ds-6.7b,0.7134146341463414,0.03530824144899643,0.0,0.03530824144899643,,0.27557808045612925,1081.1287041500002
18,claude-3-sonnet-20240229,0.7073170731707317,0.035529070128825974,0.0,0.03552907012882597,,0.2896737408932531,1078.8079823227117
51,mistral-large-latest,0.6951219512195121,0.03594774528635283,0.0,0.03594774528635283,,0.27827050997782704,1074.1843542941294
