,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,agi_english/0,0.29379418695993714,16,"['stablelm-3b-4e1t' 'mpt-30b' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-8B'
 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-llm-7b-base'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-0.5B' 'llama2_70B' 'llama_65B']",0.45714285714285713,0.45714285714285713,0.4824183809108563,agi_english/0
1,agi_english/1,,0,[],0.0,0.0,,agi_english/1
2,agi_english/10,0.23487824037706206,3,['Mixtral-8x22B-v0.1' 'pythia-2.8b-deduped' 'llama2_07B'],0.08571428571428572,0.08571428571428572,-0.008375315127160101,agi_english/10
3,agi_english/100,0.2199528672427337,17,"['mpt-30b' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-8B'
 'Meta-Llama-3-70B' 'gemma-7b' 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B'
 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-0.5B'
 'pythia-1.4b-deduped-v0' 'llama2_70B' 'llama_13B' 'llama_65B']",0.4857142857142857,0.4857142857142857,0.4292370031027615,agi_english/100
4,agi_english/1000,0.23409269442262373,12,"['Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B' 'dbrx-base' 'Qwen1.5-72B'
 'Qwen1.5-32B' 'Qwen1.5-110B' 'pythia-6.9b-deduped-v0'
 'pythia-2.8b-deduped' 'pythia-12b-deduped-v0' 'llama2_07B' 'llama2_70B'
 'llama_33B']",0.34285714285714286,0.34285714285714286,0.2766115174507297,agi_english/1000
5,agi_english/1001,0.3479968578161822,3,['Mixtral-8x22B-v0.1' 'llama2_07B' 'llama_33B'],0.08571428571428572,0.08571428571428572,0.10887909665308132,agi_english/1001
6,agi_english/1002,0.23409269442262373,8,"['Mixtral-8x22B-v0.1' 'gemma-2b' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-110B'
 'Qwen1.5-0.5B' 'pythia-6.9b-deduped-v0' 'llama_65B']",0.22857142857142856,0.22857142857142856,0.11167086836213466,agi_english/1002
7,agi_english/1003,0.22309505106048705,4,['Qwen1.5-0.5B' 'pythia-2.8b-deduped' 'pythia-1b-deduped' 'llama_33B'],0.11428571428571428,0.11428571428571428,-0.2726639077759855,agi_english/1003
8,agi_english/1004,0.24469756480754123,15,"['Mistral-7B-v0.1' 'Meta-Llama-3-8B' 'gemma-7b' 'deepseek-moe-16b-base'
 'deepseek-llm-7b-base' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B'
 'Qwen1.5-4B' 'Qwen1.5-14B' 'pythia-12b-deduped-v0' 'llama2_07B'
 'llama2_13B' 'llama2_70B' 'llama_65B']",0.42857142857142855,0.42857142857142855,0.2558408596267325,agi_english/1004
9,agi_english/1005,0.45326001571091906,9,"['Mixtral-8x7B-v0.1' 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-llm-67b-base'
 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'llama2_70B']",0.2571428571428571,0.2571428571428571,0.4988980345714431,agi_english/1005
10,agi_english/1006,0.24587588373919875,10,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B' 'gemma-2b'
 'deepseek-moe-16b-base' 'dbrx-base' 'Qwen1.5-32B' 'llama2_07B'
 'llama2_13B' 'llama_07B']",0.2857142857142857,0.2857142857142857,0.17645976067661187,agi_english/1006
11,agi_english/1007,0.22859387274155538,5,"['falcon-7b' 'stablelm-3b-4e1t' 'Meta-Llama-3-70B' 'dbrx-base'
 'Qwen1.5-110B']",0.14285714285714285,0.14285714285714285,0.15410579833974583,agi_english/1007
12,agi_english/1008,0.34328358208955223,6,"['Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B' 'deepseek-llm-7b-base'
 'deepseek-llm-67b-base' 'Qwen1.5-32B' 'llama_65B']",0.17142857142857143,0.17142857142857143,0.36704064607106,agi_english/1008
13,agi_english/1009,0.29379418695993714,16,"['stablelm-3b-4e1t' 'mpt-30b' 'Mistral-7B-v0.1' 'Meta-Llama-3-70B'
 'gemma-7b' 'deepseek-llm-7b-base' 'deepseek-llm-67b-base' 'dbrx-base'
 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-1.8B'
 'Qwen1.5-0.5B' 'llama_13B' 'llama_65B']",0.45714285714285713,0.45714285714285713,0.28239124736245247,agi_english/1009
14,agi_english/101,0.22859387274155538,15,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'gemma-2b'
 'deepseek-moe-16b-base' 'Qwen1.5-7B' 'Qwen1.5-32B' 'Qwen1.5-14B'
 'Qwen1.5-0.5B' 'pythia-2.8b-deduped' 'pythia-12b-deduped-v0' 'llama2_13B'
 'llama2_70B' 'llama_13B' 'llama_33B']",0.42857142857142855,0.42857142857142855,-0.21793851005240175,agi_english/101
15,agi_english/1010,0.23409269442262373,8,"['Meta-Llama-3-8B' 'gemma-2b' 'deepseek-llm-7b-base'
 'pythia-6.9b-deduped-v0' 'pythia-12b-deduped-v0' 'llama2_13B'
 'llama2_70B' 'llama_65B']",0.22857142857142856,0.22857142857142856,-0.1005037815259212,agi_english/1010
