,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
30,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,0,13,0,0.0
31,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,1,13,0,0.0
32,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,2,13,0,0.0
33,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,3,13,0,0.0
34,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,4,13,0,0.0
35,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,5,13,0,0.0
36,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,6,13,0,0.0
37,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,7,13,0,0.0
38,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,8,13,0,0.0
39,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,9,13,0,0.0
40,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,10,13,0,0.0
41,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,11,13,0,0.0
42,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,12,13,0,0.0
43,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,13,13,0,0.0
44,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,14,13,0,0.0
45,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,15,13,0,0.0
46,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,16,13,0,0.0
47,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,17,13,0,0.0
48,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,18,13,0,0.0
49,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,19,13,0,0.0
50,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,20,13,0,0.0
51,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,21,13,0,0.0
52,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,22,13,0,0.0
53,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,23,13,0,0.0
54,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,24,13,0,0.0
55,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,25,13,0,0.0
56,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,26,13,0,0.0
57,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,27,13,0,0.0
58,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,28,13,0,0.0
59,qwen1.5-0.5b-chat,aime2025_cot,0.7,-1,29,13,0,0.0
44606,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,0,11,0,0.0
44607,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,1,11,0,0.0
44608,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,2,11,0,0.0
44609,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,3,11,0,0.0
44610,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,4,11,0,0.0
44611,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,5,11,0,0.0
44612,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,6,11,0,0.0
44613,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,7,11,0,0.0
44614,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,8,11,0,0.0
44615,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,9,11,0,0.0
44616,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,10,11,0,0.0
44617,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,11,11,0,0.0
44618,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,12,11,0,0.0
44619,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,13,11,0,0.0
44620,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,14,11,0,0.0
44621,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,15,11,0,0.0
44622,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,16,11,0,0.0
44623,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,17,11,0,0.0
44624,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,18,11,0,0.0
44625,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,19,11,0,0.0
44626,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,20,11,0,0.0
44627,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,21,11,0,0.0
44628,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,22,11,0,0.0
44629,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,23,11,0,0.0
44630,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,24,11,0,0.0
44631,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,25,11,0,0.0
44632,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,26,11,0,0.0
44633,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,27,11,0,0.0
44634,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,28,11,0,0.0
44635,qwen1.5-1.8b-chat,aime2025_cot,0.7,-1,29,11,0,0.0
