,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
48617,llama-3.1-8B-instruct,mbpp,1.0,-1,0,7,0,0.0
48618,llama-3.1-8B-instruct,mbpp,1.0,-1,1,7,7,1.0
48619,llama-3.1-8B-instruct,mbpp,1.0,-1,2,7,0,0.0
48620,llama-3.1-8B-instruct,mbpp,1.0,-1,3,7,0,0.0
48621,llama-3.1-8B-instruct,mbpp,1.0,-1,4,7,0,0.0
48622,llama-3.1-8B-instruct,mbpp,1.0,-1,5,7,0,0.0
48623,llama-3.1-8B-instruct,mbpp,1.0,-1,6,7,0,0.0
48624,llama-3.1-8B-instruct,mbpp,1.0,-1,7,7,7,1.0
48625,llama-3.1-8B-instruct,mbpp,1.0,-1,8,7,7,1.0
48626,llama-3.1-8B-instruct,mbpp,1.0,-1,9,7,0,0.0
48627,llama-3.1-8B-instruct,mbpp,1.0,-1,10,7,7,1.0
48628,llama-3.1-8B-instruct,mbpp,1.0,-1,11,7,7,1.0
48629,llama-3.1-8B-instruct,mbpp,1.0,-1,12,7,7,1.0
48630,llama-3.1-8B-instruct,mbpp,1.0,-1,13,7,7,1.0
48631,llama-3.1-8B-instruct,mbpp,1.0,-1,14,7,0,0.0
48632,llama-3.1-8B-instruct,mbpp,1.0,-1,15,7,0,0.0
48633,llama-3.1-8B-instruct,mbpp,1.0,-1,16,7,7,1.0
48634,llama-3.1-8B-instruct,mbpp,1.0,-1,17,7,7,1.0
48635,llama-3.1-8B-instruct,mbpp,1.0,-1,18,7,7,1.0
48636,llama-3.1-8B-instruct,mbpp,1.0,-1,19,7,7,1.0
48637,llama-3.1-8B-instruct,mbpp,1.0,-1,20,7,0,0.0
48638,llama-3.1-8B-instruct,mbpp,1.0,-1,21,7,7,1.0
48639,llama-3.1-8B-instruct,mbpp,1.0,-1,22,7,0,0.0
48640,llama-3.1-8B-instruct,mbpp,1.0,-1,23,7,7,1.0
48641,llama-3.1-8B-instruct,mbpp,1.0,-1,24,7,0,0.0
48642,llama-3.1-8B-instruct,mbpp,1.0,-1,25,7,0,0.0
48643,llama-3.1-8B-instruct,mbpp,1.0,-1,26,7,7,1.0
48644,llama-3.1-8B-instruct,mbpp,1.0,-1,27,7,0,0.0
48645,llama-3.1-8B-instruct,mbpp,1.0,-1,28,7,0,0.0
48646,llama-3.1-8B-instruct,mbpp,1.0,-1,29,7,7,1.0
48647,llama-3.1-8B-instruct,mbpp,1.0,-1,30,7,7,1.0
48648,llama-3.1-8B-instruct,mbpp,1.0,-1,31,7,0,0.0
48649,llama-3.1-8B-instruct,mbpp,1.0,-1,32,7,7,1.0
48650,llama-3.1-8B-instruct,mbpp,1.0,-1,33,7,0,0.0
48651,llama-3.1-8B-instruct,mbpp,1.0,-1,34,7,7,1.0
48652,llama-3.1-8B-instruct,mbpp,1.0,-1,35,7,7,1.0
48653,llama-3.1-8B-instruct,mbpp,1.0,-1,36,7,0,0.0
48654,llama-3.1-8B-instruct,mbpp,1.0,-1,37,7,0,0.0
48655,llama-3.1-8B-instruct,mbpp,1.0,-1,38,7,7,1.0
48656,llama-3.1-8B-instruct,mbpp,1.0,-1,39,7,0,0.0
48657,llama-3.1-8B-instruct,mbpp,1.0,-1,40,7,7,1.0
