,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
5,deepseek_r1_distill_llama_70b,deepseek_v2_lite_chat,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
6,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,180.0,0.0,0.06282051281722222,11.3076923071,-11.3076923071,0.01868161794343755,0.0009765625,0.013378184480135238,0.012169736687872683,0.018085306495514136,,leetcode
7,deepseek_r1_distill_llama_70b,google_gemma_2b_it,180.0,0.0,0.006410256409444444,1.1538461537,-1.1538461537,0.005967623949950658,1.0,0.005233952441521637,0.0028266573834259566,0.005948466199230418,,leetcode
8,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,180.0,0.0,0.06969696969444446,12.545454545000002,-12.545454545000002,0.01967753508931843,0.00048828125,0.011338355717179588,0.015220382212200102,0.018979418986227063,,leetcode
9,deepseek_r1_distill_llama_70b,google_gemma_3_1b_it,180.0,0.0,0.0069444444438888885,1.2499999999,-1.2499999999,0.0062112999372509635,1.0,0.005418842550942657,0.0029913999962033946,0.006189695350273096,,leetcode
10,deepseek_r1_distill_llama_70b,google_gemma_7b_it,180.0,0.0,0.024999999998333328,4.499999999699999,-4.499999999699999,0.011785113019382953,0.125,0.007407407407291667,0.00897479705398796,0.011636866702762833,,leetcode
11,deepseek_r1_distill_llama_70b,llama-3.2-1B-instruct,180.0,0.0,0.040277777778333336,7.2500000001,-7.2500000001,0.014958791131032342,0.015625,0.004416385191434516,0.013973124188743857,0.014654441570840587,,leetcode
12,deepseek_r1_distill_llama_70b,llama-3.2-3B-instruct,180.0,0.0,0.09738562091611111,17.5294117649,-17.5294117649,0.023260077973036298,1.52587890625e-05,0.006166000739512242,0.021220815257319985,0.02209847427550079,,leetcode
