,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
47519,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,0,7,0,0.0
47520,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,1,7,0,0.0
47521,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,2,7,0,0.0
47522,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,3,7,0,0.0
47523,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,4,7,0,0.0
47524,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,5,7,0,0.0
47525,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,6,7,0,0.0
47526,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,7,7,0,0.0
47527,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,8,7,0,0.0
47528,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,9,7,0,0.0
47529,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,10,7,0,0.0
47530,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,11,7,0,0.0
47531,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,12,7,0,0.0
47532,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,13,7,0,0.0
47533,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,14,7,0,0.0
47534,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,15,7,0,0.0
47535,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,16,7,0,0.0
47536,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,17,7,0,0.0
47537,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,18,7,0,0.0
47538,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,19,7,0,0.0
47539,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,20,7,0,0.0
47540,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,21,7,0,0.0
47541,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,22,7,0,0.0
47542,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,23,7,0,0.0
47543,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,24,7,7,1.0
47544,llama-3.1-8B-instruct,jeebench_chat_cot,1.0,-1,25,7,0,0.0
