,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
6520,qwen1.5-0.5b-chat,ap_cot,0.7,-1,0,12,0,0.0
6521,qwen1.5-0.5b-chat,ap_cot,0.7,-1,1,12,0,0.0
6522,qwen1.5-0.5b-chat,ap_cot,0.7,-1,2,12,0,0.0
6523,qwen1.5-0.5b-chat,ap_cot,0.7,-1,3,12,0,0.0
6524,qwen1.5-0.5b-chat,ap_cot,0.7,-1,4,12,0,0.0
6525,qwen1.5-0.5b-chat,ap_cot,0.7,-1,5,12,2,0.1666666667
6526,qwen1.5-0.5b-chat,ap_cot,0.7,-1,6,12,0,0.0
6527,qwen1.5-0.5b-chat,ap_cot,0.7,-1,7,12,11,0.9166666667
6528,qwen1.5-0.5b-chat,ap_cot,0.7,-1,8,12,0,0.0
6529,qwen1.5-0.5b-chat,ap_cot,0.7,-1,9,12,0,0.0
6530,qwen1.5-0.5b-chat,ap_cot,0.7,-1,10,12,0,0.0
6531,qwen1.5-0.5b-chat,ap_cot,0.7,-1,11,12,3,0.25
6532,qwen1.5-0.5b-chat,ap_cot,0.7,-1,12,12,1,0.0833333333
6533,qwen1.5-0.5b-chat,ap_cot,0.7,-1,13,12,0,0.0
6534,qwen1.5-0.5b-chat,ap_cot,0.7,-1,14,12,0,0.0
6535,qwen1.5-0.5b-chat,ap_cot,0.7,-1,15,12,0,0.0
6536,qwen1.5-0.5b-chat,ap_cot,0.7,-1,16,12,7,0.5833333333
6537,qwen1.5-0.5b-chat,ap_cot,0.7,-1,17,12,0,0.0
6538,qwen1.5-0.5b-chat,ap_cot,0.7,-1,18,12,0,0.0
6539,qwen1.5-0.5b-chat,ap_cot,0.7,-1,19,12,4,0.3333333333
6540,qwen1.5-0.5b-chat,ap_cot,0.7,-1,20,12,0,0.0
6541,qwen1.5-0.5b-chat,ap_cot,0.7,-1,21,12,0,0.0
6542,qwen1.5-0.5b-chat,ap_cot,0.7,-1,22,12,0,0.0
6543,qwen1.5-0.5b-chat,ap_cot,0.7,-1,23,12,0,0.0
6544,qwen1.5-0.5b-chat,ap_cot,0.7,-1,24,12,0,0.0
6545,qwen1.5-0.5b-chat,ap_cot,0.7,-1,25,12,0,0.0
6546,qwen1.5-0.5b-chat,ap_cot,0.7,-1,26,12,0,0.0
6547,qwen1.5-0.5b-chat,ap_cot,0.7,-1,27,12,3,0.25
