,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
0,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,0,4,4,1.0
1,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,1,4,0,0.0
2,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,2,4,0,0.0
3,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,3,4,4,1.0
4,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,4,4,0,0.0
5,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,5,4,0,0.0
6,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,6,4,4,1.0
7,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,7,4,0,0.0
8,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,8,4,0,0.0
9,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,9,4,0,0.0
10,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,10,4,0,0.0
11,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,11,4,0,0.0
12,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,12,4,0,0.0
13,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,13,4,0,0.0
14,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,14,4,0,0.0
15,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,15,4,0,0.0
16,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,16,4,0,0.0
17,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,17,4,0,0.0
18,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,18,4,0,0.0
19,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,19,4,0,0.0
20,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,20,4,4,1.0
21,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,21,4,0,0.0
22,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,22,4,0,0.0
23,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,23,4,0,0.0
24,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,24,4,0,0.0
25,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,25,4,0,0.0
26,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,26,4,4,1.0
27,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,27,4,0,0.0
28,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,28,4,0,0.0
29,llama-3.1-70B-instruct,aime2024_cot,1.0,-1,29,4,0,0.0
41886,llama-3.1-8B-instruct,aime2024_cot,1.0,-1,0,7,0,0.0
41887,llama-3.1-8B-instruct,aime2024_cot,1.0,-1,1,7,0,0.0
41888,llama-3.1-8B-instruct,aime2024_cot,1.0,-1,2,7,0,0.0
41889,llama-3.1-8B-instruct,aime2024_cot,1.0,-1,3,7,0,0.0
41890,llama-3.1-8B-instruct,aime2024_cot,1.0,-1,4,7,0,0.0
41891,llama-3.1-8B-instruct,aime2024_cot,1.0,-1,5,7,0,0.0
