,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
45797,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,0,7,0,0.0
45798,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,1,7,0,0.0
45799,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,2,7,0,0.0
45800,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,3,7,0,0.0
45801,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,4,7,7,1.0
45802,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,5,7,0,0.0
45803,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,6,7,0,0.0
45804,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,7,7,0,0.0
45805,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,8,7,0,0.0
45806,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,9,7,0,0.0
45807,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,10,7,7,1.0
45808,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,11,7,0,0.0
45809,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,12,7,7,1.0
45810,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,13,7,7,1.0
45811,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,14,7,0,0.0
45812,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,15,7,0,0.0
45813,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,16,7,0,0.0
45814,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,17,7,0,0.0
45815,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,18,7,0,0.0
45816,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,19,7,0,0.0
45817,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,20,7,0,0.0
45818,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,21,7,7,1.0
45819,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,22,7,0,0.0
45820,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,23,7,7,1.0
45821,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,24,7,0,0.0
45822,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,25,7,7,1.0
45823,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,26,7,7,1.0
45824,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,27,7,7,1.0
45825,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,28,7,0,0.0
45826,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,29,7,7,1.0
45827,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,30,7,7,1.0
45828,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,31,7,0,0.0
45829,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,32,7,7,1.0
45830,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,33,7,7,1.0
45831,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,34,7,0,0.0
45832,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,35,7,0,0.0
45833,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,36,7,7,1.0
45834,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,37,7,7,1.0
45835,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,38,7,7,1.0
45836,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,39,7,0,0.0
45837,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,40,7,7,1.0
45838,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,41,7,7,1.0
45839,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,42,7,7,1.0
45840,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,43,7,7,1.0
45841,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,44,7,0,0.0
45842,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,45,7,0,0.0
45843,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,46,7,7,1.0
45844,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,47,7,0,0.0
45845,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,48,7,0,0.0
45846,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,49,7,7,1.0
45847,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,50,7,7,1.0
45848,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,51,7,0,0.0
45849,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,52,7,0,0.0
45850,llama-3.1-8B-instruct,gre_physics_cot,1.0,-1,53,7,0,0.0
