,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,gsm8k/0,0.17589082638362397,21,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-moe-16b-base'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'falcon-40b' 'DeepSeek-V2' 'llama2_07B'
 'llama2_13B' 'llama2_70B' 'llama_13B' 'llama_33B' 'llama_65B']",0.5675675675675675,0.5675675675675675,0.5838867509339625,gsm8k/0
1,gsm8k/1,0.0356330553449583,24,"['stablelm-3b-4e1t' 'mpt-30b' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1'
 'Mistral-7B-v0.1' 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b'
 'gemma-2b' 'deepseek-moe-16b-base' 'deepseek-llm-7b-base'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-4B'
 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-0.5B'
 'pythia-12b-deduped-v0' 'DeepSeek-V2' 'llama2_07B' 'llama2_70B'
 'llama_65B']",0.6486486486486487,0.6486486486486487,0.4215150728293415,gsm8k/1
2,gsm8k/10,0.17589082638362397,20,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-llm-67b-base'
 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B'
 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'DeepSeek-V2' 'llama2_13B' 'llama2_70B'
 'llama_13B' 'llama_33B' 'llama_65B']",0.5405405405405406,0.5405405405405406,0.6477395799760057,gsm8k/10
3,gsm8k/100,0.2092494313874147,11,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-70B' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B'
 'Qwen1.5-32B' 'Qwen1.5-110B' 'Qwen1.5-0.5B' 'DeepSeek-V2']",0.2972972972972973,0.2972972972972973,0.520513524155776,gsm8k/100
4,gsm8k/1000,0.6034874905231236,10,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'DeepSeek-V2']",0.2702702702702703,0.2702702702702703,0.6371930928643098,gsm8k/1000
5,gsm8k/1001,0.5678544351781653,6,"['gemma-7b' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B'
 'Qwen1.5-14B' 'Qwen1.5-110B']",0.16216216216216217,0.16216216216216217,0.41513137795022037,gsm8k/1001
6,gsm8k/1002,0.10917361637604246,23,"['mpt-30b' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-8B'
 'Meta-Llama-3-70B' 'gemma-7b' 'gemma-2b' 'deepseek-moe-16b-base'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-4B'
 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'DeepSeek-V2'
 'llama2_13B' 'llama2_70B' 'llama_07B' 'llama_13B' 'llama_33B' 'llama_65B']",0.6216216216216216,0.6216216216216216,0.540258054300046,gsm8k/1002
7,gsm8k/1003,0.3464746019711903,5,"['Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B' 'deepseek-llm-67b-base'
 'llama2_13B' 'llama_33B']",0.13513513513513514,0.13513513513513514,0.26364991597853527,gsm8k/1003
8,gsm8k/1004,0.14101592115238817,23,"['mpt-30b' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'gemma-2b'
 'deepseek-llm-7b-base' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B'
 'Qwen1.5-72B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'falcon-40b'
 'DeepSeek-V2' 'llama2_07B' 'llama2_13B' 'llama2_70B' 'llama_13B'
 'llama_33B']",0.6216216216216216,0.6216216216216216,0.5661904409064483,gsm8k/1004
9,gsm8k/1005,0.2175890826383624,10,"['mpt-30b' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B' 'deepseek-llm-67b-base'
 'dbrx-base' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-110B' 'DeepSeek-V2'
 'llama2_70B']",0.2702702702702703,0.2702702702702703,0.4979546022013681,gsm8k/1005
10,gsm8k/1006,0.14101592115238817,14,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B' 'gemma-7b'
 'deepseek-llm-7b-base' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B'
 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'falcon-40b'
 'DeepSeek-V2']",0.3783783783783784,0.3783783783783784,0.5661904409064483,gsm8k/1006
11,gsm8k/1007,0.3692191053828658,19,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-llm-67b-base'
 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'DeepSeek-V2' 'llama2_13B'
 'llama2_70B' 'llama_65B']",0.5135135135135135,0.5135135135135135,0.7171371656006361,gsm8k/1007
12,gsm8k/1008,0.0356330553449583,30,"['stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'mpt-30b'
 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'gemma-2b'
 'deepseek-moe-16b-base' 'deepseek-llm-7b-base' 'deepseek-llm-67b-base'
 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'Qwen1.5-0.5B'
 'pythia-12b-deduped-v0' 'DeepSeek-V2' 'llama2_13B' 'llama2_70B'
 'llama_07B' 'llama_13B' 'llama_33B' 'llama_65B']",0.8108108108108109,0.8108108108108109,0.44420927063588916,gsm8k/1008
13,gsm8k/1009,0.5079605761940864,8,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B' 'Qwen1.5-72B'
 'Qwen1.5-4B' 'Qwen1.5-110B' 'DeepSeek-V2' 'llama_65B']",0.21621621621621623,0.21621621621621623,0.48881712638144786,gsm8k/1009
14,gsm8k/101,0.02047005307050796,9,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-70B' 'dbrx-base' 'Qwen1.5-110B' 'pythia-1.4b-deduped-v0'
 'llama_13B' 'llama_65B']",0.24324324324324326,0.24324324324324326,0.251608976820883,gsm8k/101
