,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,CRUXEval-output/0,0.6869999999999998,6,"['claude-3-opus-20240229+cot' 'gpt-4-0613+cot' 'gpt-4-0613'
 'gpt-4-turbo-2024-04-09+cot' 'gpt-4o+cot' 'gpt-4o']",0.15315315315405403,0.16216216216216217,0.5074868305654182,CRUXEval-output/0
1,CRUXEval-output/1,0.298875,28,"['claude-3-opus-20240229+cot' 'claude-3-opus-20240229' 'codellama-13b+cot'
 'codellama-13b' 'codellama-34b+cot' 'codellama-34b' 'codellama-7b+cot'
 'codellama-7b' 'codellama-python-13b' 'codellama-python-34b'
 'codellama-python-7b' 'codetulu-2-34b' 'deepseek-base-33b'
 'deepseek-base-6.7b' 'deepseek-instruct-33b' 'gpt-3.5-turbo-0613+cot'
 'gpt-3.5-turbo-0613' 'gpt-4-0613+cot' 'gpt-4-0613'
 'gpt-4-turbo-2024-04-09+cot' 'gpt-4-turbo-2024-04-09' 'gpt-4o+cot'
 'magicoder-ds-7b' 'mistral-7b' 'mixtral-8x7b' 'phind' 'wizard-13b'
 'wizard-34b']",0.7054054054054054,0.7567567567567568,0.5248654175292836,CRUXEval-output/1
2,CRUXEval-output/10,0.21675,37,"['claude-3-opus-20240229+cot' 'claude-3-opus-20240229' 'codellama-13b+cot'
 'codellama-13b' 'codellama-34b+cot' 'codellama-34b' 'codellama-7b+cot'
 'codellama-7b' 'codellama-python-13b' 'codellama-python-34b'
 'codellama-python-7b' 'codetulu-2-34b' 'deepseek-base-1.3b'
 'deepseek-base-33b' 'deepseek-base-6.7b' 'deepseek-instruct-1.3b'
 'deepseek-instruct-33b' 'deepseek-instruct-6.7b' 'gpt-3.5-turbo-0613+cot'
 'gpt-3.5-turbo-0613' 'gpt-4-0613+cot' 'gpt-4-0613'
 'gpt-4-turbo-2024-04-09+cot' 'gpt-4-turbo-2024-04-09' 'gpt-4o+cot'
 'gpt-4o' 'magicoder-ds-7b' 'mistral-7b' 'mixtral-8x7b' 'phi-1.5' 'phi-1'
 'phi-2' 'phind' 'starcoderbase-16b' 'starcoderbase-7b' 'wizard-13b'
 'wizard-34b']",0.9837837837837837,1.0,0.3063044136515075,CRUXEval-output/10
3,CRUXEval-output/100,0.21675,36,"['claude-3-opus-20240229+cot' 'claude-3-opus-20240229' 'codellama-13b+cot'
 'codellama-13b' 'codellama-34b+cot' 'codellama-34b' 'codellama-7b+cot'
 'codellama-7b' 'codellama-python-13b' 'codellama-python-34b'
 'codellama-python-7b' 'codetulu-2-34b' 'deepseek-base-33b'
 'deepseek-base-6.7b' 'deepseek-instruct-1.3b' 'deepseek-instruct-33b'
 'deepseek-instruct-6.7b' 'gpt-3.5-turbo-0613+cot' 'gpt-3.5-turbo-0613'
 'gpt-4-0613+cot' 'gpt-4-0613' 'gpt-4-turbo-2024-04-09+cot'
 'gpt-4-turbo-2024-04-09' 'gpt-4o+cot' 'gpt-4o' 'magicoder-ds-7b'
 'mistral-7b' 'mixtral-8x7b' 'phi-1.5' 'phi-1' 'phi-2' 'phind'
 'starcoderbase-16b' 'starcoderbase-7b' 'wizard-13b' 'wizard-34b']",0.8432432432432432,0.972972972972973,0.563584702362927,CRUXEval-output/100
4,CRUXEval-output/101,0.274875,35,"['claude-3-opus-20240229+cot' 'claude-3-opus-20240229' 'codellama-13b+cot'
 'codellama-13b' 'codellama-34b+cot' 'codellama-34b' 'codellama-7b+cot'
 'codellama-7b' 'codellama-python-13b' 'codellama-python-34b'
 'codellama-python-7b' 'codetulu-2-34b' 'deepseek-base-1.3b'
 'deepseek-base-33b' 'deepseek-base-6.7b' 'deepseek-instruct-33b'
 'deepseek-instruct-6.7b' 'gpt-3.5-turbo-0613+cot' 'gpt-3.5-turbo-0613'
 'gpt-4-0613+cot' 'gpt-4-0613' 'gpt-4-turbo-2024-04-09+cot'
 'gpt-4-turbo-2024-04-09' 'gpt-4o+cot' 'gpt-4o' 'magicoder-ds-7b'
 'mistral-7b' 'mixtral-8x7b' 'phi-1.5' 'phi-2' 'phind' 'starcoderbase-16b'
 'starcoderbase-7b' 'wizard-13b' 'wizard-34b']",0.9018018018027026,0.9459459459459459,0.21371868349696446,CRUXEval-output/101
5,CRUXEval-output/102,0.39712500000000006,14,"['claude-3-opus-20240229+cot' 'claude-3-opus-20240229'
 'codellama-python-34b' 'codetulu-2-34b' 'deepseek-instruct-33b'
 'gpt-4-0613+cot' 'gpt-4-0613' 'gpt-4-turbo-2024-04-09+cot'
 'gpt-4-turbo-2024-04-09' 'gpt-4o+cot' 'gpt-4o' 'phind' 'wizard-13b'
 'wizard-34b']",0.35945945945945945,0.3783783783783784,0.552561967305738,CRUXEval-output/102
6,CRUXEval-output/103,0.21675,34,"['claude-3-opus-20240229+cot' 'claude-3-opus-20240229' 'codellama-13b+cot'
 'codellama-13b' 'codellama-34b+cot' 'codellama-7b+cot' 'codellama-7b'
 'codellama-python-13b' 'codellama-python-34b' 'codellama-python-7b'
 'deepseek-base-1.3b' 'deepseek-base-33b' 'deepseek-base-6.7b'
 'deepseek-instruct-1.3b' 'deepseek-instruct-33b' 'deepseek-instruct-6.7b'
 'gpt-3.5-turbo-0613+cot' 'gpt-3.5-turbo-0613' 'gpt-4-0613+cot'
 'gpt-4-0613' 'gpt-4-turbo-2024-04-09+cot' 'gpt-4-turbo-2024-04-09'
 'gpt-4o+cot' 'gpt-4o' 'magicoder-ds-7b' 'mistral-7b' 'mixtral-8x7b'
 'phi-1.5' 'phi-1' 'phi-2' 'starcoderbase-16b' 'starcoderbase-7b'
 'wizard-13b' 'wizard-34b']",0.9108108108108108,0.918918918918919,0.03898055355445455,CRUXEval-output/103
7,CRUXEval-output/104,0.21675,37,"['claude-3-opus-20240229+cot' 'claude-3-opus-20240229' 'codellama-13b+cot'
 'codellama-13b' 'codellama-34b+cot' 'codellama-34b' 'codellama-7b+cot'
 'codellama-7b' 'codellama-python-13b' 'codellama-python-34b'
 'codellama-python-7b' 'codetulu-2-34b' 'deepseek-base-1.3b'
 'deepseek-base-33b' 'deepseek-base-6.7b' 'deepseek-instruct-1.3b'
 'deepseek-instruct-33b' 'deepseek-instruct-6.7b' 'gpt-3.5-turbo-0613+cot'
 'gpt-3.5-turbo-0613' 'gpt-4-0613+cot' 'gpt-4-0613'
 'gpt-4-turbo-2024-04-09+cot' 'gpt-4-turbo-2024-04-09' 'gpt-4o+cot'
 'gpt-4o' 'magicoder-ds-7b' 'mistral-7b' 'mixtral-8x7b' 'phi-1.5' 'phi-1'
 'phi-2' 'phind' 'starcoderbase-16b' 'starcoderbase-7b' 'wizard-13b'
 'wizard-34b']",0.9432432432432432,1.0,0.16206467358978158,CRUXEval-output/104
8,CRUXEval-output/105,0.322,21,"['claude-3-opus-20240229+cot' 'codellama-13b+cot' 'codellama-34b'
 'codellama-python-13b' 'codellama-python-34b' 'deepseek-base-6.7b'
 'deepseek-instruct-33b' 'deepseek-instruct-6.7b' 'gpt-3.5-turbo-0613+cot'
 'gpt-3.5-turbo-0613' 'gpt-4-0613+cot' 'gpt-4-0613'
 'gpt-4-turbo-2024-04-09+cot' 'gpt-4-turbo-2024-04-09' 'gpt-4o+cot'
 'gpt-4o' 'magicoder-ds-7b' 'phi-2' 'starcoderbase-16b' 'starcoderbase-7b'
 'wizard-34b']",0.48288288288378367,0.5675675675675675,0.41734179538380073,CRUXEval-output/105
9,CRUXEval-output/106,0.436125,4,"['claude-3-opus-20240229+cot' 'codellama-34b+cot' 'gpt-3.5-turbo-0613+cot'
 'gpt-4o+cot']",0.06306306306216215,0.10810810810810811,0.31666099733107167,CRUXEval-output/106
