,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,Mbpp/100,0.42592592592592593,21,"['CohereForAI--c4ai-command-r-plus' 'code-millenials-34b'
 'claude-3-opus-20240229' 'mixtral-8x22b-instruct-v0.1'
 'mistral-large-latest' 'HuggingFaceH4--starchat2-15b-v0.1'
 'deepseek-coder-6.7b-instruct' 'open-hermes-2.5-code-290k-13b'
 'codet5p-6b' 'xwincoder-34b' 'code-llama-34b'
 'deepseek-coder-33b-instruct' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'codegen-6b' 'gpt-4-1106-preview'
 'opencodeinterpreter-ds-33b' 'deepseek-coder-6.7b-base' 'codegen-16b'
 'codet5p-16b' 'opencodeinterpreter-ds-6.7b']",0.3559322033898305,0.3559322033898305,0.3354038069867333,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/Mbpp/100.html"">Mbpp/100</a>"
1,Mbpp/101,0.3306878306878307,30,"['CohereForAI--c4ai-command-r-plus' 'code-millenials-34b' 'dolphin-2.6'
 'claude-3-opus-20240229' 'mixtral-8x22b-instruct-v0.1'
 'Qwen--Qwen1.5-72B-Chat' 'codegen-2b' 'HuggingFaceH4--starchat2-15b-v0.1'
 'deepseek-coder-6.7b-instruct' 'open-hermes-2.5-code-290k-13b'
 'codet5p-6b' 'codegemma-7b-it' 'deepseek-coder-33b-instruct' 'codet5p-2b'
 'codegemma-2b' 'white-rabbit-neo-33b-v1'
 'microsoft--Phi-3-mini-4k-instruct' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'codegen-6b' 'gemma-7b-it'
 'opencodeinterpreter-ds-33b' 'speechless-starcoder2-7b' 'wizardcoder-7b'
 'codegen-16b' 'mistral-7b' 'speechless-mistral-7b' 'code-llama-13b'
 'solar-10.7b-instruct' 'gemma-7b']",0.5084745762711864,0.5084745762711864,-0.021360253261808865,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/Mbpp/101.html"">Mbpp/101</a>"
2,Mbpp/102,0.42592592592592593,2,['codet5p-6b' 'phi-2'],0.03389830508474576,0.03389830508474576,-0.09986031389036573,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/Mbpp/102.html"">Mbpp/102</a>"
3,Mbpp/103,,0,[],0.0,0.0,,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/Mbpp/103.html"">Mbpp/103</a>"
4,Mbpp/104,0.3544973544973545,53,"['code-llama-multi-7b' 'databricks--dbrx-instruct'
 'CohereForAI--c4ai-command-r-plus' 'claude-3-haiku-20240307'
 'code-millenials-34b' 'dolphin-2.6' 'claude-3-opus-20240229'
 'wizardcoder-34b' 'mixtral-8x22b-instruct-v0.1' 'code-llama-multi-34b'
 'Qwen--Qwen1.5-72B-Chat' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'codegemma-7b' 'code-llama-multi-13b'
 'deepseek-coder-6.7b-instruct' 'open-hermes-2.5-code-290k-13b'
 'codegemma-7b-it' 'mistralai--Mistral-7B-Instruct-v0.2' 'xwincoder-34b'
 'wizardcoder-15b' 'code-llama-34b' 'deepseek-coder-33b-instruct' 'phi-2'
 'codegemma-2b' 'white-rabbit-neo-33b-v1'
 'microsoft--Phi-3-mini-4k-instruct' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'stable-code-3b' 'codegen-6b'
 'gpt-4-1106-preview' 'opencodeinterpreter-ds-33b' 'openchat'
 'speechless-starcoder2-7b' 'wizardcoder-7b' 'octocoder' 'gemma-1.1-7b-it'
 'deepseek-coder-6.7b-base' 'codegen-16b' 'mistral-7b'
 'speechless-mistral-7b' 'codet5p-16b' 'code-llama-13b' 'xdan-l1-chat'
 'solar-10.7b-instruct' 'gemma-2b' 'claude-3-sonnet-20240229'
 'starcoder2-15b-oci' 'starcoder2-3b' 'speechless-starcoder2-15b'
 'gemma-7b' 'opencodeinterpreter-ds-6.7b']",0.8983050847457628,0.8983050847457628,0.2500327738999302,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/Mbpp/104.html"">Mbpp/104</a>"
5,Mbpp/105,0.3544973544973545,50,"['code-llama-multi-7b' 'databricks--dbrx-instruct'
 'CohereForAI--c4ai-command-r-plus' 'claude-3-haiku-20240307'
 'code-millenials-34b' 'dolphin-2.6' 'claude-3-opus-20240229'
 'mixtral-8x7b-instruct' 'wizardcoder-34b' 'mixtral-8x22b-instruct-v0.1'
 'code-llama-multi-34b' 'codegen-2b' 'HuggingFaceH4--starchat2-15b-v0.1'
 'codegemma-7b' 'code-llama-multi-13b' 'deepseek-coder-6.7b-instruct'
 'codet5p-6b' 'codegemma-7b-it' 'mistralai--Mistral-7B-Instruct-v0.2'
 'xwincoder-34b' 'wizardcoder-15b' 'code-llama-34b'
 'deepseek-coder-33b-instruct' 'phi-2' 'codet5p-2b'
 'bigcode--starcoder2-15b-instruct-v0.1' 'codegemma-2b'
 'white-rabbit-neo-33b-v1' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'stable-code-3b' 'codegen-6b'
 'gpt-4-1106-preview' 'opencodeinterpreter-ds-33b' 'openchat' 'octocoder'
 'gemma-1.1-7b-it' 'deepseek-coder-6.7b-base' 'codegen-16b' 'mistral-7b'
 'codet5p-16b' 'code-llama-13b' 'xdan-l1-chat' 'gemma-2b'
 'claude-3-sonnet-20240229' 'starcoder2-15b-oci' 'starcoder2-3b'
 'speechless-starcoder2-15b' 'gemma-7b' 'opencodeinterpreter-ds-6.7b']",0.847457627118644,0.847457627118644,0.15878198223814188,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/Mbpp/105.html"">Mbpp/105</a>"
6,Mbpp/106,0.4417989417989418,39,"['code-llama-multi-7b' 'databricks--dbrx-instruct'
 'CohereForAI--c4ai-command-r-plus' 'claude-3-haiku-20240307'
 'code-millenials-34b' 'dolphin-2.6' 'claude-3-opus-20240229'
 'mixtral-8x7b-instruct' 'wizardcoder-34b' 'mixtral-8x22b-instruct-v0.1'
 'code-llama-multi-34b' 'Qwen--Qwen1.5-72B-Chat' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'code-llama-multi-13b'
 'deepseek-coder-6.7b-instruct' 'codegemma-7b-it' 'xwincoder-34b'
 'wizardcoder-15b' 'code-llama-34b' 'deepseek-coder-33b-instruct' 'phi-2'
 'bigcode--starcoder2-15b-instruct-v0.1' 'white-rabbit-neo-33b-v1'
 'microsoft--Phi-3-mini-4k-instruct' 'speechless-codellama-34b'
 'meta-llama-3-70b-instruct' 'gpt-4-1106-preview'
 'opencodeinterpreter-ds-33b' 'speechless-starcoder2-7b' 'wizardcoder-7b'
 'octocoder' 'deepseek-coder-6.7b-base' 'code-llama-13b'
 'claude-3-sonnet-20240229' 'starcoder2-15b-oci' 'starcoder2-3b'
 'speechless-starcoder2-15b' 'opencodeinterpreter-ds-6.7b']",0.6610169491525424,0.6610169491525424,0.6212385494484195,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/Mbpp/106.html"">Mbpp/106</a>"
7,Mbpp/108,0.42592592592592593,40,"['databricks--dbrx-instruct' 'CohereForAI--c4ai-command-r-plus'
 'claude-3-haiku-20240307' 'code-millenials-34b' 'dolphin-2.6'
 'claude-3-opus-20240229' 'mixtral-8x22b-instruct-v0.1'
 'code-llama-multi-34b' 'Qwen--Qwen1.5-72B-Chat' 'mistral-large-latest'
 'HuggingFaceH4--starchat2-15b-v0.1' 'deepseek-coder-6.7b-instruct'
 'open-hermes-2.5-code-290k-13b' 'codet5p-6b' 'codegemma-7b-it'
 'xwincoder-34b' 'deepseek-coder-33b-instruct' 'phi-2'
 'bigcode--starcoder2-15b-instruct-v0.1' 'codegemma-2b'
 'white-rabbit-neo-33b-v1' 'microsoft--Phi-3-mini-4k-instruct'
 'speechless-codellama-34b' 'meta-llama-3-70b-instruct' 'stable-code-3b'
 'codegen-6b' 'opencodeinterpreter-ds-33b' 'openchat'
 'speechless-starcoder2-7b' 'wizardcoder-7b' 'deepseek-coder-6.7b-base'
 'codegen-16b' 'speechless-mistral-7b' 'codet5p-16b'
 'claude-3-sonnet-20240229' 'starcoder2-15b-oci' 'starcoder2-3b'
 'speechless-starcoder2-15b' 'gemma-7b' 'opencodeinterpreter-ds-6.7b']",0.6779661016949152,0.6779661016949152,0.3929102902092294,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/Mbpp/108.html"">Mbpp/108</a>"
8,Mbpp/109,0.4497354497354497,6,"['mixtral-8x7b-instruct' 'bigcode--starcoder2-15b-instruct-v0.1'
 'deepseek-coder-6.7b-base' 'codet5p-16b' 'starcoder2-15b-oci' 'gemma-7b']",0.1016949152542373,0.1016949152542373,0.002717747542390546,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/Mbpp/109.html"">Mbpp/109</a>"
9,Mbpp/11,0.544973544973545,20,"['CohereForAI--c4ai-command-r-plus' 'claude-3-haiku-20240307'
 'code-millenials-34b' 'dolphin-2.6' 'wizardcoder-34b'
 'mixtral-8x22b-instruct-v0.1' 'Qwen--Qwen1.5-72B-Chat'
 'mistral-large-latest' 'HuggingFaceH4--starchat2-15b-v0.1'
 'deepseek-coder-6.7b-instruct' 'xwincoder-34b'
 'deepseek-coder-33b-instruct' 'bigcode--starcoder2-15b-instruct-v0.1'
 'white-rabbit-neo-33b-v1' 'microsoft--Phi-3-mini-4k-instruct'
 'gpt-4-1106-preview' 'speechless-starcoder2-7b'
 'claude-3-sonnet-20240229' 'starcoder2-15b-oci'
 'opencodeinterpreter-ds-6.7b']",0.3389830508474576,0.3389830508474576,0.5526940726238033,"<a href=""https://crux-eval.github.io/eval-arena/evalplus/Mbpp/11.html"">Mbpp/11</a>"
