,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,DS/0,0.057,69,"['Qwen-Qwen2-72B-Instruct' 'claude-3-sonnet-20240229' 'codex002'
 'Qwen-Qwen1.5-110B-Chat' 'gpt-4-0613' 'gpt-4-turbo-2024-04-09'
 'microsoft-wavecoder-ultra-6.7b' 'meta-llama-Llama-2-7b-chat-hf'
 'deepseek-ai-deepseek-V2-chat' 'Qwen-CodeQwen1.5-7B'
 'deepseek-ai-deepseek-coder-33b-base' 'bigcode-starcoder2-3b'
 'bigcode-starcoder2-7b' 'deepseek-ai-deepseek-coder-1.3b-base'
 'google-gemma-2b-it' 'deepseek-ai-deepseek-coder-6.7b-base'
 'google-gemma-7b-it' 'deepseek-ai-deepseek-coder-7b-base-v1.5'
 'meta-llama-Llama-3-8B' 'bigcode-starcoder2-15b' 'google-codegemma-7b'
 'google-codegemma-1.1-7b-it' 'google-gemma-1.1-2b-it' 'google-gemma-7b'
 'ibm-granite-granite-3b-code-base' 'Doubao-pro-4k'
 'ibm-granite-granite-8b-code-base' 'm-a-p-OpenCodeInterpreter-CL-7B'
 'm-a-p-OpenCodeInterpreter-DS-6.7B' 'm-a-p-OpenCodeInterpreter-SC2-7B'
 'google-codegemma-7b-it' 'codellama-CodeLlama-7b-Python-hf'
 'codellama-CodeLlama-7b-hf' 'meta-llama-Llama-3-70B'
 'microsoft-Phi-3-mini-128k-instruct' 'microsoft-Phi-3-mini-4k-instruct'
 'microsoft-phi-1' 'microsoft-phi-1_5' 'microsoft-wavecoder-ds-6.7b'
 'ERNIE-Speed-8K' 'openchat-openchat-3.5-0106'
 'smallcloudai-Refact-1_6B-fim' 'stabilityai-stable-code-3b'
 'codellama-CodeLlama-13b-hf' 'Qwen-Qwen1.5-14B-Chat'
 'Qwen-Qwen1.5-32B-Chat' 'meta-llama-Llama-3-70b-chat-hf'
 'Qwen-Qwen1.5-72B-Chat' 'deepseek-ai-deepseek-coder-33b-instruct'
 'deepseek-ai-deepseek-llm-67b-chat' 'meta-llama-Llama-3-8b-chat-hf'
 'Qwen-Qwen1.5-14B' 'mistralai-Mixtral-8x22B'
 'mistralai-Mixtral-8x7B-v0.1' 'Qwen-Qwen1.5-32B' 'Qwen-Qwen1.5-7B'
 'codellama-CodeLlama-70b-Python-hf' 'codellama-CodeLlama-34b-Python-hf'
 'codellama-CodeLlama-13b-Python-hf' 'meta-llama-Llama-2-70b-hf'
 'WizardLM-WizardCoder-Python-34B-V1.0' 'Phind-Phind-CodeLlama-34B-v2'
 'Qwen-Qwen1.5-72B' 'codellama-CodeLlama-70b-hf'
 'codellama-CodeLlama-34b-hf' 'microsoft-Phi-3-medium-4k-instruct'
 'ibm-granite-granite-20b-code-base' 'microsoft-Phi-3-small-8k-instruct'
 'ibm-granite-granite-34b-code-base']",0.6571428571428571,0.6571428571428571,0.28977629775785557,DS/0
1,DS/1,0.3,9,"['gpt-3.5-turbo-0613' 'gpt-4-turbo-2024-04-09'
 'deepseek-ai-deepseek-V2-chat' 'claude-3-5-sonnet-20240620'
 'm-a-p-OpenCodeInterpreter-CL-7B' 'microsoft-wavecoder-ds-6.7b'
 'deepseek-ai-deepseek-llm-67b-chat' 'deepseek-ai-deepseek-coder-V2-Base'
 'ibm-granite-granite-20b-code-base']",0.08571428571428572,0.08571428571428572,0.2650284056735999,DS/1
2,DS/10,0.163,21,"['claude-3-haiku-20240307' 'gpt-4-0613' 'deepseek-ai-deepseek-V2-chat'
 'bigcode-starcoder2-3b' 'google-codegemma-1.1-7b-it' 'Doubao-pro-4k'
 'claude-3-5-sonnet-20240620' 'm-a-p-OpenCodeInterpreter-DS-6.7B'
 'google-codegemma-7b-it' 'codellama-CodeLlama-7b-Python-hf'
 'codellama-CodeLlama-7b-hf' 'microsoft-Phi-3-mini-4k-instruct'
 'microsoft-phi-2' 'microsoft-wavecoder-pro-6.7b' 'Qwen-Qwen1.5-14B'
 'WizardLM-WizardCoder-Python-34B-V1.0' 'mistralai-Codestral-22B-v0.1'
 'deepseek-ai-deepseek-coder-V2-Base' 'deepseek-ai-deepseek-coder-V2-SFT'
 'ibm-granite-granite-20b-code-base'
 'deepseek-ai-deepseek-coder-V2-Instruct']",0.2,0.2,0.15741712709908426,DS/10
3,DS/100,0.079,55,"['Qwen-Qwen2-72B-Instruct' 'claude-3-haiku-20240307'
 'claude-3-opus-20240229' 'claude-3-sonnet-20240229' 'codex002'
 'Qwen-Qwen1.5-110B-Chat' 'gpt-3.5-turbo-0125' 'gpt-3.5-turbo-0613'
 'gpt-4-0613' 'deepseek-ai-deepseek-V2-chat'
 'deepseek-ai-deepseek-coder-33b-base' 'bigcode-starcoder2-7b'
 'deepseek-ai-deepseek-coder-7b-base-v1.5' 'meta-llama-Llama-3-8B'
 'google-codegemma-1.1-2b' 'bigcode-starcoder2-15b' 'google-codegemma-7b'
 'Qwen-Qwen2-7B' 'google-gemma-7b' 'gpt-4o-2024-05-13'
 'ibm-granite-granite-8b-code-base' 'claude-3-5-sonnet-20240620'
 'm-a-p-OpenCodeInterpreter-DS-1.3B' 'm-a-p-OpenCodeInterpreter-DS-6.7B'
 'google-codegemma-7b-it' 'meta-llama-Llama-3-70B'
 'microsoft-Phi-3-mini-128k-instruct' 'microsoft-Phi-3-mini-4k-instruct'
 'microsoft-phi-1' 'microsoft-wavecoder-ds-6.7b'
 'openchat-openchat-3.5-0106' 'stabilityai-stable-code-3b'
 'Qwen-Qwen1.5-14B-Chat' 'meta-llama-Llama-3-70b-chat-hf'
 'Qwen-Qwen1.5-72B-Chat' 'deepseek-ai-deepseek-coder-33b-instruct'
 'deepseek-ai-deepseek-llm-67b-chat' 'codellama-CodeLlama-13b-Instruct-hf'
 'Qwen-Qwen1.5-14B' 'mistralai-Mixtral-8x22B' 'Qwen-Qwen1.5-7B'
 'codellama-CodeLlama-34b-Python-hf' 'codellama-CodeLlama-13b-Python-hf'
 'WizardLM-WizardCoder-Python-34B-V1.0' 'Phind-Phind-CodeLlama-34B-v2'
 'Qwen-Qwen1.5-72B' 'codellama-CodeLlama-70b-hf'
 'codellama-CodeLlama-34b-hf' 'microsoft-Phi-3-medium-4k-instruct'
 'mistralai-Codestral-22B-v0.1' 'deepseek-ai-deepseek-coder-V2-Base'
 'deepseek-ai-deepseek-coder-V2-SFT' 'ibm-granite-granite-20b-code-base'
 'microsoft-Phi-3-small-8k-instruct'
 'deepseek-ai-deepseek-coder-V2-Instruct']",0.5238095238095238,0.5238095238095238,0.42111693629621366,DS/100
4,DS/101,0.088,48,"['Qwen-Qwen2-72B-Instruct' 'claude-3-opus-20240229'
 'claude-3-sonnet-20240229' 'Qwen-Qwen1.5-110B-Chat' 'gpt-4-0613'
 'deepseek-ai-deepseek-V2-chat' 'deepseek-ai-deepseek-coder-33b-base'
 'bigcode-starcoder2-7b' 'meta-llama-Llama-3-8B' 'google-codegemma-1.1-2b'
 'bigcode-starcoder2-15b' 'google-codegemma-7b' 'Qwen-Qwen2-7B'
 'google-gemma-7b' 'ibm-granite-granite-8b-code-base'
 'claude-3-5-sonnet-20240620' 'm-a-p-OpenCodeInterpreter-DS-6.7B'
 'google-codegemma-7b-it' 'google-gemma-1.1-7b-it' 'Doubao-lite-4k'
 'meta-llama-Llama-3-70B' 'microsoft-Phi-3-mini-128k-instruct'
 'microsoft-Phi-3-mini-4k-instruct' 'microsoft-phi-1'
 'microsoft-wavecoder-ds-6.7b' 'ERNIE-Speed-8K'
 'openchat-openchat-3.5-0106' 'stabilityai-stable-code-3b'
 'Qwen-Qwen1.5-14B-Chat' 'Qwen-Qwen1.5-32B-Chat' 'Qwen-Qwen1.5-72B-Chat'
 'deepseek-ai-deepseek-coder-33b-instruct'
 'deepseek-ai-deepseek-llm-67b-chat' 'mistralai-Mixtral-8x22B'
 'mistralai-Mixtral-8x7B-v0.1' 'Qwen-Qwen1.5-7B'
 'codellama-CodeLlama-34b-Python-hf' 'codellama-CodeLlama-13b-Python-hf'
 'meta-llama-Llama-2-70b-hf' 'WizardLM-WizardCoder-Python-34B-V1.0'
 'Phind-Phind-CodeLlama-34B-v2' 'Qwen-Qwen1.5-72B'
 'codellama-CodeLlama-70b-hf' 'codellama-CodeLlama-34b-hf'
 'mistralai-Codestral-22B-v0.1' 'deepseek-ai-deepseek-coder-V2-Base'
 'deepseek-ai-deepseek-coder-V2-SFT' 'ibm-granite-granite-20b-code-base']",0.45714285714285713,0.45714285714285713,0.3336101589004948,DS/101
5,DS/102,0.157,19,"['Qwen-Qwen2-72B-Instruct' 'codex002' 'gpt-4-0613'
 'microsoft-wavecoder-ultra-6.7b' 'deepseek-ai-deepseek-coder-6.7b-base'
 'meta-llama-Llama-3-8B' 'm-a-p-OpenCodeInterpreter-CL-7B'
 'm-a-p-OpenCodeInterpreter-DS-1.3B' 'm-a-p-OpenCodeInterpreter-DS-6.7B'
 'codellama-CodeLlama-7b-Python-hf' 'Doubao-lite-4k'
 'microsoft-wavecoder-ds-6.7b' 'mistralai-Mixtral-8x22B-Instruct-v0.1'
 'mistralai-Mixtral-8x22B' 'Qwen-Qwen1.5-32B' 'codellama-CodeLlama-70b-hf'
 'deepseek-ai-deepseek-coder-V2-Lite-Base'
 'deepseek-ai-deepseek-coder-V2-Base' 'deepseek-ai-deepseek-coder-V2-SFT']",0.18095238095238095,0.18095238095238095,0.24567411434215267,DS/102
6,DS/103,0.166,43,"['claude-3-opus-20240229' 'claude-3-sonnet-20240229' 'codex002'
 'Qwen-Qwen1.5-110B-Chat' 'gpt-3.5-turbo-0125' 'gpt-3.5-turbo-0613'
 'gpt-4-0613' 'deepseek-ai-deepseek-V2-chat'
 'deepseek-ai-deepseek-coder-33b-base' 'THUDM-codegeex2-6b'
 'bigcode-starcoder2-3b' 'bigcode-starcoder2-7b' 'google-codegemma-1.1-2b'
 'bigcode-starcoder2-15b' 'google-codegemma-7b' 'Qwen-Qwen2-7B'
 'google-gemma-7b' 'gpt-4o-2024-05-13' 'Doubao-pro-4k'
 'ibm-granite-granite-8b-code-base' 'claude-3-5-sonnet-20240620'
 'm-a-p-OpenCodeInterpreter-DS-6.7B' 'google-codegemma-7b-it'
 'meta-llama-Llama-3-70B' 'microsoft-Phi-3-mini-128k-instruct'
 'microsoft-Phi-3-mini-4k-instruct' 'microsoft-wavecoder-ds-6.7b'
 'stabilityai-stable-code-3b' 'Qwen-Qwen1.5-72B-Chat'
 'deepseek-ai-deepseek-coder-33b-instruct'
 'deepseek-ai-deepseek-llm-67b-chat' 'mistralai-Mixtral-8x22B'
 'codellama-CodeLlama-34b-Python-hf' 'codellama-CodeLlama-13b-Python-hf'
 'WizardLM-WizardCoder-Python-34B-V1.0' 'Phind-Phind-CodeLlama-34B-v2'
 'Qwen-Qwen1.5-72B' 'codellama-CodeLlama-70b-hf'
 'mistralai-Codestral-22B-v0.1' 'deepseek-ai-deepseek-coder-V2-Base'
 'deepseek-ai-deepseek-coder-V2-SFT' 'ibm-granite-granite-20b-code-base'
 'deepseek-ai-deepseek-coder-V2-Instruct']",0.4095238095238095,0.4095238095238095,0.4027724509829943,DS/103
7,DS/104,0.54,2,['gpt-4-turbo-2024-04-09' 'claude-3-5-sonnet-20240620'],0.01904761904761905,0.01904761904761905,0.1944531848955061,DS/104
8,DS/105,0.543,1,['claude-3-5-sonnet-20240620'],0.009523809523809525,0.009523809523809525,0.13816502508107273,DS/105
9,DS/106,,0,[],0.0,0.0,,DS/106
