,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
3550,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,0,13,0,0.0
3551,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,1,13,0,0.0
3552,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,2,13,7,0.5384615385
3553,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,3,13,4,0.3076923077
3554,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,4,13,0,0.0
3555,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,5,13,0,0.0
3556,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,6,13,0,0.0
3557,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,7,13,7,0.5384615385
3558,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,8,13,0,0.0
3559,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,9,13,0,0.0
3560,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,10,13,1,0.0769230769
3561,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,11,13,0,0.0
3562,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,12,13,1,0.0769230769
3563,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,13,13,0,0.0
3564,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,14,13,0,0.0
3565,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,15,13,0,0.0
3566,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,16,13,0,0.0
3567,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,17,13,0,0.0
3568,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,18,13,0,0.0
3569,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,19,13,0,0.0
3570,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,20,13,0,0.0
3571,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,21,13,0,0.0
3572,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,22,13,3,0.2307692308
3573,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,23,13,0,0.0
3574,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,24,13,0,0.0
3575,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,25,13,0,0.0
3576,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,26,13,0,0.0
3577,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,27,13,4,0.3076923077
3578,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,28,13,1,0.0769230769
3579,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,29,13,0,0.0
3580,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,30,13,6,0.4615384615
3581,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,31,13,0,0.0
3582,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,32,13,0,0.0
3583,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,33,13,0,0.0
3584,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,34,13,0,0.0
3585,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,35,13,0,0.0
3586,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,36,13,0,0.0
3587,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,37,13,0,0.0
3588,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,38,13,0,0.0
3589,qwen1.5-0.5b-chat,cruxeval_output_cot,0.7,-1,39,13,3,0.2307692308
