,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,0,0.08,14,"['llama-3.1-70B-instruct' 'qwen2.5-coder-32b-instruct' 'qwen3-14b'
 'qwen3-32b' 'qwen3-4b' 'qwen3-8b' 'deepseek_r1_distill_llama_70b'
 'deepseek_r1_distill_llama_8b' 'deepseek_r1_distill_qwen_1.5b'
 'deepseek_r1_distill_qwen_32b' 'deepseek_r1_distill_qwen_7b'
 'google_gemma_3_12b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it']",0.2032679738568627,0.27450980392156865,0.6645705947656445,0
1,1,0.006666666666666667,25,"['llama-3.2-3B-instruct' 'qwen1.5-14b-chat' 'qwen2-math-1.5b-instruct'
 'qwen2-math-7b-instruct' 'qwen2.5-coder-0.5b-instruct'
 'qwen2.5-coder-14b-instruct' 'qwen2.5-coder-32b-instruct'
 'qwen2.5-coder-3b-instruct' 'qwen2.5-coder-7b-instruct' 'qwen3-1.7b'
 'qwen3-14b' 'qwen3-32b' 'qwen3-4b' 'qwen3-8b'
 'deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_llama_8b'
 'deepseek_r1_distill_qwen_1.5b' 'deepseek_r1_distill_qwen_14b'
 'deepseek_r1_distill_qwen_32b' 'deepseek_r1_distill_qwen_7b'
 'google_gemma_2_27b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it']",0.31862745098039214,0.49019607843137253,0.5965114295366546,1
2,10,,0,[],0.0,0.0,,10
3,11,,0,[],0.0,0.0,,11
4,12,0.35,2,['deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_qwen_32b'],0.0196078431372549,0.0392156862745098,0.2935842853930151,12
5,13,0.38333333333333336,1,['deepseek_r1_distill_llama_70b'],0.00980392156862745,0.0196078431372549,0.20970306099501076,13
6,14,0.016666666666666666,10,"['qwen3-14b' 'qwen3-32b' 'qwen3-8b' 'deepseek_r1_distill_qwen_1.5b'
 'deepseek_r1_distill_qwen_14b' 'deepseek_r1_distill_qwen_32b'
 'deepseek_r1_distill_qwen_7b' 'google_gemma_3_12b_it'
 'google_gemma_3_1b_it' 'google_gemma_3_27b_it']",0.08986928104705882,0.19607843137254902,0.5247489434906261,14
7,15,0.21666666666666667,7,"['qwen3-14b' 'qwen3-32b' 'deepseek_r1_distill_llama_70b'
 'deepseek_r1_distill_qwen_14b' 'deepseek_r1_distill_qwen_32b'
 'deepseek_r1_distill_qwen_7b' 'google_gemma_3_27b_it']",0.06372549019411765,0.13725490196078433,0.53134990772893,15
8,16,0.19166666666666668,4,"['deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_qwen_32b'
 'google_gemma_3_12b_it' 'google_gemma_3_27b_it']",0.042483660131372544,0.0784313725490196,0.3841104432726462,16
9,17,0.11666666666666667,6,"['qwen2.5-coder-32b-instruct' 'deepseek_r1_distill_llama_70b'
 'deepseek_r1_distill_qwen_14b' 'deepseek_r1_distill_qwen_32b'
 'deepseek_r1_distill_qwen_7b' 'google_gemma_3_27b_it']",0.060457516339215686,0.11764705882352941,0.44503662588960397,17
10,18,0.13333333333333333,11,"['qwen3-14b' 'qwen3-32b' 'qwen3-8b' 'deepseek_r1_distill_llama_70b'
 'deepseek_r1_distill_llama_8b' 'deepseek_r1_distill_qwen_1.5b'
 'deepseek_r1_distill_qwen_14b' 'deepseek_r1_distill_qwen_32b'
 'deepseek_r1_distill_qwen_7b' 'google_gemma_3_12b_it'
 'google_gemma_3_27b_it']",0.1748366013098039,0.21568627450980393,0.5962174564369361,18
11,19,0.06666666666666667,5,"['llama-3.1-8B-instruct' 'qwen2.5-coder-14b-instruct' 'qwen3-14b'
 'qwen3-32b' 'deepseek_r1_distill_llama_70b']",0.06862745098039216,0.09803921568627451,0.3107676700527304,19
12,2,0.03333333333333333,11,"['llama-3.2-1B-instruct' 'qwen3-32b' 'qwen3-4b' 'qwen3-8b'
 'deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_llama_8b'
 'deepseek_r1_distill_qwen_14b' 'deepseek_r1_distill_qwen_32b'
 'deepseek_r1_distill_qwen_7b' 'google_gemma_3_12b_it'
 'google_gemma_3_27b_it']",0.1176470588215686,0.21568627450980393,0.5561589749770348,2
13,20,0.008333333333333333,16,"['llama-3.1-70B-instruct' 'qwen2.5-coder-1.5b-instruct'
 'qwen2.5-coder-32b-instruct' 'qwen2.5-coder-3b-instruct'
 'qwen2.5-coder-7b-instruct' 'qwen3-32b' 'qwen3-4b' 'qwen3-8b'
 'deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_llama_8b'
 'deepseek_r1_distill_qwen_1.5b' 'deepseek_r1_distill_qwen_14b'
 'deepseek_r1_distill_qwen_32b' 'deepseek_r1_distill_qwen_7b'
 'mistralai_mathstral_7b_v0.1' 'google_gemma_3_27b_it']",0.15032679738627452,0.3137254901960784,0.5617053219343744,20
14,21,,0,[],0.0,0.0,,21
15,22,,0,[],0.0,0.0,,22
16,23,,0,[],0.0,0.0,,23
17,24,0.21666666666666667,3,['qwen3-32b' 'deepseek_r1_distill_qwen_14b' 'deepseek_r1_distill_qwen_32b'],0.02124183006470588,0.058823529411764705,0.32042942904197314,24
18,25,,0,[],0.0,0.0,,25
19,26,0.016666666666666666,7,"['llama-3.1-70B-instruct' 'llama-3.1-8B-instruct' 'qwen2-72b-instruct'
 'deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_qwen_14b'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_3_1b_it']",0.07516339869215685,0.13725490196078433,0.2414506074606422,26
20,27,0.175,5,"['qwen3-4b' 'deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_qwen_14b'
 'deepseek_r1_distill_qwen_7b' 'google_gemma_3_27b_it']",0.035947712417647056,0.09803921568627451,0.4152264786064981,27
21,28,,0,[],0.0,0.0,,28
22,29,,0,[],0.0,0.0,,29
23,3,0.008333333333333333,22,"['llama-3.1-70B-instruct' 'llama-3.2-3B-instruct' 'qwen2-72b-instruct'
 'qwen2-math-7b-instruct' 'qwen2.5-coder-32b-instruct'
 'qwen2.5-coder-7b-instruct' 'qwen3-1.7b' 'qwen3-14b' 'qwen3-32b'
 'qwen3-4b' 'qwen3-8b' 'deepseek_r1_distill_llama_70b'
 'deepseek_r1_distill_llama_8b' 'deepseek_r1_distill_qwen_1.5b'
 'deepseek_r1_distill_qwen_14b' 'deepseek_r1_distill_qwen_32b'
 'deepseek_r1_distill_qwen_7b' 'mistralai_mixtral_8x22b_instruct_v0.1'
 'google_gemma_2_9b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it']",0.33169934640392157,0.43137254901960786,0.726798882200889,3
24,4,0.022222222219999997,1,['mistralai_mixtral_8x7b_instruct_v0.1'],0.006535947711764706,0.0196078431372549,0.008388122439800432,4
25,5,0.13333333333333333,9,"['qwen3-14b' 'qwen3-32b' 'qwen3-4b' 'deepseek_r1_distill_llama_70b'
 'deepseek_r1_distill_llama_8b' 'deepseek_r1_distill_qwen_14b'
 'deepseek_r1_distill_qwen_32b' 'deepseek_r1_distill_qwen_7b'
 'google_gemma_3_27b_it']",0.1437908496745098,0.17647058823529413,0.5548787601785624,5
26,6,0.07777777777666667,15,"['llama-3.1-70B-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-32b-instruct' 'qwen3-14b' 'qwen3-32b' 'qwen3-4b'
 'qwen3-8b' 'deepseek_r1_distill_llama_70b'
 'deepseek_r1_distill_qwen_1.5b' 'deepseek_r1_distill_qwen_14b'
 'deepseek_r1_distill_qwen_32b' 'deepseek_r1_distill_qwen_7b'
 'google_gemma_3_12b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it']",0.25359477124117646,0.29411764705882354,0.6867496327257748,6
27,7,,0,[],0.0,0.0,,7
28,8,,0,[],0.0,0.0,,8
29,9,,0,[],0.0,0.0,,9
