,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
45257,llama-3.1-8B-instruct,gmat_cot,1.0,-1,0,7,0,0.0
45258,llama-3.1-8B-instruct,gmat_cot,1.0,-1,1,7,7,1.0
45259,llama-3.1-8B-instruct,gmat_cot,1.0,-1,2,7,0,0.0
45260,llama-3.1-8B-instruct,gmat_cot,1.0,-1,3,7,7,1.0
45261,llama-3.1-8B-instruct,gmat_cot,1.0,-1,4,7,0,0.0
45262,llama-3.1-8B-instruct,gmat_cot,1.0,-1,5,7,7,1.0
45263,llama-3.1-8B-instruct,gmat_cot,1.0,-1,6,7,7,1.0
45264,llama-3.1-8B-instruct,gmat_cot,1.0,-1,7,7,7,1.0
45265,llama-3.1-8B-instruct,gmat_cot,1.0,-1,8,7,0,0.0
45266,llama-3.1-8B-instruct,gmat_cot,1.0,-1,9,7,0,0.0
45267,llama-3.1-8B-instruct,gmat_cot,1.0,-1,10,7,7,1.0
45268,llama-3.1-8B-instruct,gmat_cot,1.0,-1,11,7,7,1.0
45269,llama-3.1-8B-instruct,gmat_cot,1.0,-1,12,7,0,0.0
45270,llama-3.1-8B-instruct,gmat_cot,1.0,-1,13,7,7,1.0
45271,llama-3.1-8B-instruct,gmat_cot,1.0,-1,14,7,0,0.0
45272,llama-3.1-8B-instruct,gmat_cot,1.0,-1,15,7,7,1.0
45273,llama-3.1-8B-instruct,gmat_cot,1.0,-1,16,7,0,0.0
45274,llama-3.1-8B-instruct,gmat_cot,1.0,-1,17,7,0,0.0
45275,llama-3.1-8B-instruct,gmat_cot,1.0,-1,18,7,7,1.0
45276,llama-3.1-8B-instruct,gmat_cot,1.0,-1,19,7,0,0.0
45277,llama-3.1-8B-instruct,gmat_cot,1.0,-1,20,7,7,1.0
45278,llama-3.1-8B-instruct,gmat_cot,1.0,-1,21,7,0,0.0
45279,llama-3.1-8B-instruct,gmat_cot,1.0,-1,22,7,0,0.0
45280,llama-3.1-8B-instruct,gmat_cot,1.0,-1,23,7,0,0.0
45281,llama-3.1-8B-instruct,gmat_cot,1.0,-1,24,7,0,0.0
45282,llama-3.1-8B-instruct,gmat_cot,1.0,-1,25,7,7,1.0
45283,llama-3.1-8B-instruct,gmat_cot,1.0,-1,26,7,7,1.0
45284,llama-3.1-8B-instruct,gmat_cot,1.0,-1,27,7,0,0.0
45285,llama-3.1-8B-instruct,gmat_cot,1.0,-1,28,7,7,1.0
45286,llama-3.1-8B-instruct,gmat_cot,1.0,-1,29,7,7,1.0
45287,llama-3.1-8B-instruct,gmat_cot,1.0,-1,30,7,0,0.0
45288,llama-3.1-8B-instruct,gmat_cot,1.0,-1,31,7,0,0.0
45289,llama-3.1-8B-instruct,gmat_cot,1.0,-1,32,7,0,0.0
45290,llama-3.1-8B-instruct,gmat_cot,1.0,-1,33,7,0,0.0
45291,llama-3.1-8B-instruct,gmat_cot,1.0,-1,34,7,0,0.0
45292,llama-3.1-8B-instruct,gmat_cot,1.0,-1,35,7,0,0.0
45293,llama-3.1-8B-instruct,gmat_cot,1.0,-1,36,7,7,1.0
45294,llama-3.1-8B-instruct,gmat_cot,1.0,-1,37,7,7,1.0
45295,llama-3.1-8B-instruct,gmat_cot,1.0,-1,38,7,7,1.0
45296,llama-3.1-8B-instruct,gmat_cot,1.0,-1,39,7,7,1.0
45297,llama-3.1-8B-instruct,gmat_cot,1.0,-1,40,7,7,1.0
45298,llama-3.1-8B-instruct,gmat_cot,1.0,-1,41,7,0,0.0
45299,llama-3.1-8B-instruct,gmat_cot,1.0,-1,42,7,0,0.0
45300,llama-3.1-8B-instruct,gmat_cot,1.0,-1,43,7,7,1.0
45301,llama-3.1-8B-instruct,gmat_cot,1.0,-1,44,7,7,1.0
45302,llama-3.1-8B-instruct,gmat_cot,1.0,-1,45,7,7,1.0
45303,llama-3.1-8B-instruct,gmat_cot,1.0,-1,46,7,0,0.0
45304,llama-3.1-8B-instruct,gmat_cot,1.0,-1,47,7,7,1.0
45305,llama-3.1-8B-instruct,gmat_cot,1.0,-1,48,7,7,1.0
45306,llama-3.1-8B-instruct,gmat_cot,1.0,-1,49,7,7,1.0
45307,llama-3.1-8B-instruct,gmat_cot,1.0,-1,50,7,7,1.0
45308,llama-3.1-8B-instruct,gmat_cot,1.0,-1,51,7,7,1.0
45309,llama-3.1-8B-instruct,gmat_cot,1.0,-1,52,7,7,1.0
45310,llama-3.1-8B-instruct,gmat_cot,1.0,-1,53,7,0,0.0
45311,llama-3.1-8B-instruct,gmat_cot,1.0,-1,54,7,0,0.0
