,example_id,min_elo,num_solved,models,acc,tau,example_link
0,2952,,0,[],0.0,,2952
1,abc340_d,982.2187339484552,11,"['DSCoder-33b-Ins' 'LLama3-70b-Ins' 'WCoder-34B-V1' 'WCoder-33B-V1.1'
 'DBRX-Ins' 'CodeQwen15-7B-Chat' 'GPT-4-Turbo-2024-04-09'
 'GPT-4O-2024-05-13' 'Claude-2' 'Gemini-Pro-1.5 (April) (n=1)'
 'Gemini-Pro-1.5 (May)']",0.1896551724137931,0.3861771007964532,abc340_d
2,3309,953.8995093799356,37,"['DSCoder-33b-Ins' 'DSCoder-6.7b-Ins' 'Eurux-8x22b-NCA (n=1)'
 'LLama3-8b-Ins' 'WCoder-34B-V1' 'WCoder-33B-V1.1' 'Phind-34B-V2'
 'DBRX-Ins' 'Smaug-2-72B' 'Qwen-1.5-72B-Chat' 'GPT-3.5-Turbo-0125'
 'GPT-4-0613' 'GPT-4-Turbo-1106' 'GPT-4-Turbo-2024-04-09'
 'GPT-4O-2024-05-13' 'Claude-2' 'Claude-Instant-1' 'Claude-3-Opus'
 'Claude-3-Sonnet' 'Claude-3-Haiku' 'Gemini-Pro'
 'Gemini-Pro-1.5 (April) (n=1)' 'Gemini-Pro-1.5 (May)'
 'MagiCoderS-DS-6.7B' 'MagiCoderS-CL-7B' 'StarCoder2-3b'
 'CodeLlama-13b-Base' 'CodeGemma-7b-Base' 'CodeGemma-2b-Base'
 'Gemma-7b-Base' 'LLama3-70b-Base' 'Mistral-Large' 'Mixtral-8x22B-Ins'
 'Mixtral-8x7B-Ins' 'OC-DS-6.7B' 'Command-R' 'Command-R+']",0.6379310344827587,0.306184032579653,3309
3,abc336_b,945.8432723111073,53,"['DSCoder-33b-Ins' 'DSCoder-6.7b-Ins' 'DSCoder-1.3b-Ins'
 'Eurus-70B-SFT (n=1)' 'Eurux-8x22b-NCA (n=1)' 'Cllama-34b-Ins'
 'Cllama-13b-Ins' 'Cllama-7b-Ins' 'LLama3-8b-Ins' 'LLama3-70b-Ins'
 'WCoder-34B-V1' 'WCoder-33B-V1.1' 'Phind-34B-V2' 'DBRX-Ins' 'Smaug-2-72B'
 'Qwen-1.5-72B-Chat' 'CodeQwen15-7B' 'CodeQwen15-7B-Chat'
 'GPT-3.5-Turbo-0301' 'GPT-3.5-Turbo-0125' 'GPT-4-0613' 'GPT-4-Turbo-1106'
 'GPT-4-Turbo-2024-04-09' 'GPT-4O-2024-05-13' 'Claude-2'
 'Claude-Instant-1' 'Claude-3-Opus' 'Claude-3-Sonnet' 'Claude-3-Haiku'
 'Gemini-Pro' 'Gemini-Pro-1.5 (April) (n=1)' 'Gemini-Pro-1.5 (May)'
 'MagiCoderS-DS-6.7B' 'MagiCoderS-CL-7B' 'StarCoder2-3b' 'StarCoder2-7b'
 'StarCoder2-15b' 'CodeLlama-34b-Base' 'CodeLlama-13b-Base'
 'CodeLlama-7b-Base' 'DSCoder-33b-Base' 'DSCoder-6.7b-Base'
 'DSCoder-1.3b-Base' 'CodeGemma-2b-Base' 'Gemma-7b-Base' 'LLama3-70b-Base'
 'LLama3-8b-Base' 'Mistral-Large' 'OC-DS-33B' 'OC-DS-6.7B' 'OC-DS-1.3B'
 'StableCode-3B' 'Command-R+']",0.9137931034482759,0.14051529024678308,abc336_b
4,2919,971.6451627323121,11,"['DSCoder-33b-Ins' 'DSCoder-6.7b-Ins' 'WCoder-33B-V1.1' 'CodeQwen15-7B'
 'CodeQwen15-7B-Chat' 'GPT-4O-2024-05-13' 'Gemini-Pro-1.5 (May)'
 'DSCoder-33b-Base' 'LLama3-8b-Base' 'OC-DS-33B' 'OC-DS-6.7B']",0.1896551724137931,0.30396572919832865,2919
5,abc319_d,1013.8261181248449,8,"['LLama3-70b-Ins' 'CodeQwen15-7B-Chat' 'GPT-4-Turbo-1106'
 'GPT-4-Turbo-2024-04-09' 'GPT-4O-2024-05-13' 'Claude-3-Opus'
 'Gemini-Pro-1.5 (April) (n=1)' 'Gemini-Pro-1.5 (May)']",0.13793103448275862,0.4574846401872521,abc319_d
6,3261,,0,[],0.0,,3261
7,3106,1010.3122033903259,9,"['DSCoder-33b-Ins' 'LLama3-70b-Ins' 'CodeQwen15-7B-Chat'
 'GPT-3.5-Turbo-0125' 'GPT-4-0613' 'GPT-4-Turbo-1106'
 'GPT-4-Turbo-2024-04-09' 'GPT-4O-2024-05-13'
 'Gemini-Pro-1.5 (April) (n=1)']",0.15517241379310345,0.4415558355109934,3106
8,abc326_a,964.5689934108872,17,"['LLama3-70b-Ins' 'DBRX-Ins' 'CodeQwen15-7B' 'GPT-4-Turbo-1106'
 'GPT-4-Turbo-2024-04-09' 'GPT-4O-2024-05-13' 'Claude-Instant-1'
 'Claude-3-Opus' 'Claude-3-Sonnet' 'Gemini-Pro-1.5 (May)'
 'MagiCoderS-CL-7B' 'StarCoder2-7b' 'StarCoder2-15b' 'CodeLlama-34b-Base'
 'CodeGemma-7b-Base' 'Gemma-7b-Base' 'Command-R+']",0.29310344827586204,0.16489992211768884,abc326_a
9,abc338_c,1060.9324001243922,3,['GPT-4-Turbo-1106' 'GPT-4-Turbo-2024-04-09' 'GPT-4O-2024-05-13'],0.05172413793103448,0.3159406776544185,abc338_c
