,benchmark_id,model,example_id,pass1,N,date,hyperparams
2521831,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/0,0.0,10.0,,T0.2
2521832,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/1,0.7,10.0,,T0.2
2521833,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/2,0.3,10.0,,T0.2
2521834,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/3,1.0,10.0,,T0.2
2521835,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/4,0.1,10.0,,T0.2
2521836,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/5,0.0,10.0,,T0.2
2521837,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/6,0.0,10.0,,T0.2
2521838,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/7,0.8,10.0,,T0.2
2521839,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/8,1.0,10.0,,T0.2
2521840,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/9,0.9,10.0,,T0.2
2521841,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/10,0.9,10.0,,T0.2
2521842,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/11,0.2,10.0,,T0.2
2521843,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/12,0.1,10.0,,T0.2
2521844,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/13,0.5,10.0,,T0.2
2521845,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/14,0.0,10.0,,T0.2
2521846,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/15,0.7,10.0,,T0.2
2521847,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/16,0.2,10.0,,T0.2
2521848,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/17,0.4,10.0,,T0.2
2521849,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/18,0.3,10.0,,T0.2
2521850,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/19,0.1,10.0,,T0.2
2521851,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/20,0.0,10.0,,T0.2
2521852,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/21,0.6,10.0,,T0.2
2521853,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/22,0.5,10.0,,T0.2
2521854,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/23,0.0,10.0,,T0.2
2521855,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/24,1.0,10.0,,T0.2
2521856,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/25,1.0,10.0,,T0.2
2521857,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/26,0.6,10.0,,T0.2
2521858,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/27,0.3,10.0,,T0.2
2521859,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/28,1.0,10.0,,T0.2
2521860,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/29,1.0,10.0,,T0.2
2521861,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/30,0.5,10.0,,T0.2
2521862,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/31,0.2,10.0,,T0.2
2521863,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/32,0.0,10.0,,T0.2
2521864,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/33,0.0,10.0,,T0.2
2521865,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/34,0.0,10.0,,T0.2
2521866,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/35,0.0,10.0,,T0.2
2521867,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/36,0.9,10.0,,T0.2
2521868,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/37,0.5,10.0,,T0.2
2521869,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/38,0.0,10.0,,T0.2
2521870,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/39,1.0,10.0,,T0.2
2521871,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/40,0.8,10.0,,T0.2
2521872,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/41,0.0,10.0,,T0.2
2521873,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/42,0.3,10.0,,T0.2
2521874,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/43,0.8,10.0,,T0.2
2521875,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/44,0.0,10.0,,T0.2
2521876,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/45,0.3,10.0,,T0.2
2521877,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/46,0.0,10.0,,T0.2
2521878,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/47,0.1,10.0,,T0.2
2521879,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/48,1.0,10.0,,T0.2
2521880,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/49,1.0,10.0,,T0.2
2521881,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/50,0.4,10.0,,T0.2
2521882,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/51,0.9,10.0,,T0.2
2521883,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/52,0.2,10.0,,T0.2
2521884,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/53,0.0,10.0,,T0.2
2521885,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/54,0.4,10.0,,T0.2
2521886,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/55,0.0,10.0,,T0.2
2521887,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/56,0.2,10.0,,T0.2
2521888,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/57,0.7,10.0,,T0.2
2521889,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/58,0.0,10.0,,T0.2
2521890,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/59,0.8,10.0,,T0.2
2521891,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/60,0.5,10.0,,T0.2
2521892,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/61,1.0,10.0,,T0.2
2521893,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/62,0.1,10.0,,T0.2
2521894,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/63,0.2,10.0,,T0.2
2521895,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/64,0.0,10.0,,T0.2
2521896,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/65,0.5,10.0,,T0.2
2521897,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/66,0.0,10.0,,T0.2
2521898,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/67,1.0,10.0,,T0.2
2521899,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/68,0.0,10.0,,T0.2
2521900,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/69,1.0,10.0,,T0.2
2521901,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/70,0.0,10.0,,T0.2
2521902,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/71,0.1,10.0,,T0.2
2521903,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/72,0.0,10.0,,T0.2
2521904,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/73,0.0,10.0,,T0.2
2521905,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/74,1.0,10.0,,T0.2
2521906,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/75,0.0,10.0,,T0.2
2521907,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/76,0.0,10.0,,T0.2
2521908,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/77,0.0,10.0,,T0.2
2521909,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/78,0.2,10.0,,T0.2
2521910,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/79,1.0,10.0,,T0.2
2521911,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/80,0.3,10.0,,T0.2
2521912,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/81,0.1,10.0,,T0.2
2521913,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/82,0.1,10.0,,T0.2
2521914,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/83,0.0,10.0,,T0.2
2521915,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/84,0.2,10.0,,T0.2
2521916,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/85,0.8,10.0,,T0.2
2521917,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/86,0.1,10.0,,T0.2
2521918,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/87,1.0,10.0,,T0.2
2521919,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/88,0.0,10.0,,T0.2
2521920,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/89,0.2,10.0,,T0.2
2521921,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/90,1.0,10.0,,T0.2
2521922,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/91,0.0,10.0,,T0.2
2521923,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/92,0.2,10.0,,T0.2
2521924,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/93,0.0,10.0,,T0.2
2521925,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/94,1.0,10.0,,T0.2
2521926,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/95,1.0,10.0,,T0.2
2521927,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/96,0.4,10.0,,T0.2
2521928,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/97,0.5,10.0,,T0.2
2521929,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/98,0.1,10.0,,T0.2
2521930,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/99,0.0,10.0,,T0.2
2521931,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/100,0.6,10.0,,T0.2
2521932,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/101,1.0,10.0,,T0.2
2521933,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/102,0.0,10.0,,T0.2
2521934,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/103,1.0,10.0,,T0.2
2521935,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/104,0.5,10.0,,T0.2
2521936,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/105,0.1,10.0,,T0.2
2521937,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/106,0.0,10.0,,T0.2
2521938,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/107,0.0,10.0,,T0.2
2521939,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/108,0.2,10.0,,T0.2
2521940,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/109,1.0,10.0,,T0.2
2521941,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/110,0.1,10.0,,T0.2
2521942,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/111,0.3,10.0,,T0.2
2521943,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/112,0.0,10.0,,T0.2
2521944,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/113,0.0,10.0,,T0.2
2521945,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/114,0.0,10.0,,T0.2
2521946,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/115,0.0,10.0,,T0.2
2521947,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/116,1.0,10.0,,T0.2
2521948,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/117,0.0,10.0,,T0.2
2521949,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/118,0.7,10.0,,T0.2
2521950,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/119,0.4,10.0,,T0.2
2521951,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/120,0.7,10.0,,T0.2
2521952,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/121,0.1,10.0,,T0.2
2521953,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/122,0.2,10.0,,T0.2
2521954,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/123,0.4,10.0,,T0.2
2521955,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/124,0.4,10.0,,T0.2
2521956,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/125,0.0,10.0,,T0.2
2521957,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/126,0.0,10.0,,T0.2
2521958,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/127,1.0,10.0,,T0.2
2521959,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/128,0.0,10.0,,T0.2
2521960,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/129,0.0,10.0,,T0.2
2521961,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/130,0.1,10.0,,T0.2
2521962,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/131,0.0,10.0,,T0.2
2521963,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/132,0.1,10.0,,T0.2
2521964,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/133,0.0,10.0,,T0.2
2521965,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/134,0.0,10.0,,T0.2
2521966,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/135,0.9,10.0,,T0.2
2521967,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/136,0.0,10.0,,T0.2
2521968,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/137,0.7,10.0,,T0.2
2521969,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/138,0.3,10.0,,T0.2
2521970,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/139,0.6,10.0,,T0.2
2521971,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/140,0.7,10.0,,T0.2
2521972,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/141,1.0,10.0,,T0.2
2521973,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/142,0.1,10.0,,T0.2
2521974,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/143,0.9,10.0,,T0.2
2521975,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/144,0.7,10.0,,T0.2
2521976,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/145,0.5,10.0,,T0.2
2521977,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/146,0.8,10.0,,T0.2
2521978,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/147,0.6,10.0,,T0.2
2521979,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/148,0.0,10.0,,T0.2
2521980,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/149,0.0,10.0,,T0.2
2521981,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/150,0.1,10.0,,T0.2
2521982,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/151,0.1,10.0,,T0.2
2521983,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/152,0.5,10.0,,T0.2
2521984,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/153,0.0,10.0,,T0.2
2521985,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/154,0.9,10.0,,T0.2
2521986,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/155,0.0,10.0,,T0.2
2521987,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/156,1.0,10.0,,T0.2
2521988,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/157,0.3,10.0,,T0.2
2521989,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/158,0.0,10.0,,T0.2
2521990,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/159,0.0,10.0,,T0.2
2521991,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/160,0.6,10.0,,T0.2
2521992,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/161,0.4,10.0,,T0.2
2521993,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/162,0.0,10.0,,T0.2
2521994,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/163,0.0,10.0,,T0.2
2521995,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/164,1.0,10.0,,T0.2
2521996,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/165,0.7,10.0,,T0.2
2521997,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/166,0.9,10.0,,T0.2
2521998,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/167,0.0,10.0,,T0.2
2521999,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/168,0.0,10.0,,T0.2
2522000,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/169,0.0,10.0,,T0.2
2522001,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/170,1.0,10.0,,T0.2
2522002,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/171,0.4,10.0,,T0.2
2522003,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/172,0.7,10.0,,T0.2
2522004,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/173,0.5,10.0,,T0.2
2522005,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/174,0.6,10.0,,T0.2
2522006,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/175,0.0,10.0,,T0.2
2522007,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/176,0.8,10.0,,T0.2
2522008,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/177,0.0,10.0,,T0.2
2522009,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/178,0.0,10.0,,T0.2
2522010,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/179,0.0,10.0,,T0.2
2522011,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/180,0.1,10.0,,T0.2
2522012,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/181,0.3,10.0,,T0.2
2522013,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/182,0.9,10.0,,T0.2
2522014,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/183,0.0,10.0,,T0.2
2522015,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/184,0.3,10.0,,T0.2
2522016,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/185,0.0,10.0,,T0.2
2522017,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/186,0.5,10.0,,T0.2
2522018,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/187,0.9,10.0,,T0.2
2522019,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/188,0.1,10.0,,T0.2
2522020,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/189,0.6,10.0,,T0.2
2522021,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/190,0.1,10.0,,T0.2
2522022,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/191,0.9,10.0,,T0.2
2522023,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/192,0.1,10.0,,T0.2
2522024,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/193,0.2,10.0,,T0.2
2522025,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/194,0.8,10.0,,T0.2
2522026,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/195,0.0,10.0,,T0.2
2522027,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/196,0.1,10.0,,T0.2
2522028,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/197,0.4,10.0,,T0.2
2522029,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/198,0.0,10.0,,T0.2
2522030,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/199,0.7,10.0,,T0.2
2522031,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/200,0.0,10.0,,T0.2
2522032,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/201,0.3,10.0,,T0.2
2522033,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/202,0.9,10.0,,T0.2
2522034,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/203,1.0,10.0,,T0.2
2522035,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/204,0.3,10.0,,T0.2
2522036,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/205,0.0,10.0,,T0.2
2522037,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/206,0.9,10.0,,T0.2
2522038,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/207,1.0,10.0,,T0.2
2522039,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/208,0.0,10.0,,T0.2
2522040,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/209,0.0,10.0,,T0.2
2522041,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/210,0.3,10.0,,T0.2
2522042,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/211,0.0,10.0,,T0.2
2522043,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/212,0.4,10.0,,T0.2
2522044,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/213,0.8,10.0,,T0.2
2522045,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/214,0.0,10.0,,T0.2
2522046,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/215,0.6,10.0,,T0.2
2522047,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/216,0.7,10.0,,T0.2
2522048,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/217,0.7,10.0,,T0.2
2522049,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/218,0.0,10.0,,T0.2
2522050,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/219,0.1,10.0,,T0.2
2522051,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/220,0.0,10.0,,T0.2
2522052,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/221,0.4,10.0,,T0.2
2522053,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/222,0.0,10.0,,T0.2
2522054,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/223,0.1,10.0,,T0.2
2522055,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/224,0.2,10.0,,T0.2
2522056,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/225,0.7,10.0,,T0.2
2522057,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/226,0.6,10.0,,T0.2
2522058,CRUXEval-output-T0.2,codellama-13b+cot,CRUXEval-output/227,0.3,10.0,,T0.2
