,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
6117,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,0,13,4,0.3076923077
6118,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,1,13,2,0.1538461538
6119,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,2,13,5,0.3846153846
6120,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,3,13,0,0.0
6121,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,4,13,2,0.1538461538
6122,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,5,13,1,0.0769230769
6123,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,6,13,3,0.2307692308
6124,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,7,13,4,0.3076923077
6125,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,8,13,5,0.3846153846
6126,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,9,13,3,0.2307692308
6127,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,10,13,3,0.2307692308
6128,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,11,13,0,0.0
6129,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,12,13,0,0.0
6130,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,13,13,3,0.2307692308
6131,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,14,13,2,0.1538461538
6132,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,15,13,1,0.0769230769
6133,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,16,13,6,0.4615384615
6134,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,17,13,1,0.0769230769
6135,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,18,13,5,0.3846153846
6136,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,19,13,3,0.2307692308
6137,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,20,13,2,0.1538461538
6138,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,21,13,3,0.2307692308
6139,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,22,13,5,0.3846153846
6140,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,23,13,3,0.2307692308
6141,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,24,13,4,0.3076923077
6142,qwen1.5-0.5b-chat,lsat_cot,0.7,-1,25,13,5,0.3846153846
