,example_id,min_elo,num_solved,models,acc,tau,example_link
0,agi_english/995,936.9950599849356,17,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'Meta-Llama-3-8B'
 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-llm-7b-base' 'dbrx-base'
 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-14B' 'Qwen1.5-110B'
 'pythia-12b-deduped-v0' 'llama2_13B' 'llama_07B' 'llama_33B' 'llama_65B']",0.4857142857142857,0.22986462461240784,agi_english/995
1,agi_english/1189,936.9950599849356,20,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'mpt-30b' 'Mixtral-8x7B-v0.1'
 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B' 'deepseek-moe-16b-base'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-4B'
 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'pythia-2.8b-deduped'
 'llama2_07B' 'llama2_13B' 'llama2_70B' 'llama_33B' 'llama_65B']",0.5714285714285714,0.4192947421660338,agi_english/1189
2,agi_english/2054,934.984579150347,16,"['stablelm-base-alpha-7b-v2' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'deepseek-moe-16b-base'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B'
 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'pythia-2.8b-deduped'
 'pythia-1b-deduped' 'llama_07B']",0.45714285714285713,0.3482825384136914,agi_english/2054
3,agi_english/2442,933.8339260761769,11,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'Mistral-7B-v0.1'
 'deepseek-moe-16b-base' 'deepseek-llm-7b-base' 'Qwen1.5-4B'
 'Qwen1.5-0.5B' 'pythia-1b-deduped' 'pythia-1.4b-deduped-v0' 'llama_07B'
 'llama_13B']",0.3142857142857143,-0.4242424242424242,agi_english/2442
4,agi_english/1463,939.0016339912879,10,"['mpt-30b' 'Mixtral-8x7B-v0.1' 'Meta-Llama-3-70B' 'gemma-2b'
 'deepseek-llm-67b-base' 'Qwen1.5-72B' 'Qwen1.5-32B' 'Qwen1.5-110B'
 'pythia-6.9b-deduped-v0' 'llama_65B']",0.2857142857142857,0.3191845671062244,agi_english/1463
5,agi_english/1594,939.0016339912879,17,"['stablelm-base-alpha-7b-v2' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'gemma-2b'
 'deepseek-llm-67b-base' 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'pythia-6.9b-deduped-v0' 'llama2_70B'
 'llama_33B' 'llama_65B']",0.4857142857142857,0.4972581675288822,agi_english/1594
6,agi_english/1661,934.984579150347,19,"['stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'Mixtral-8x22B-v0.1'
 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-llm-67b-base' 'dbrx-base'
 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B'
 'Qwen1.5-110B' 'pythia-6.9b-deduped-v0' 'pythia-1b-deduped' 'llama2_07B'
 'llama_13B' 'llama_33B' 'llama_65B']",0.5428571428571428,0.3718151423605624,agi_english/1661
7,agi_english/2364,934.984579150347,14,"['Mixtral-8x22B-v0.1' 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-4B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'pythia-1b-deduped' 'llama2_07B'
 'llama2_70B' 'llama_65B']",0.4,0.48816122455447436,agi_english/2364
8,agi_english/1369,933.8339260761769,21,"['stablelm-3b-4e1t' 'mpt-30b' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-70B' 'gemma-7b' 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-4B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'Qwen1.5-0.5B'
 'pythia-2.8b-deduped' 'pythia-1b-deduped' 'pythia-12b-deduped-v0'
 'pythia-1.4b-deduped-v0' 'llama2_70B' 'llama_07B' 'llama_13B' 'llama_33B']",0.6,0.0191435774335088,agi_english/1369
9,agi_english/1241,933.8339260761769,25,"['stablelm-3b-4e1t' 'mpt-30b' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'deepseek-moe-16b-base'
 'deepseek-llm-7b-base' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B'
 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B'
 'Qwen1.5-0.5B' 'pythia-2.8b-deduped' 'pythia-1b-deduped'
 'pythia-12b-deduped-v0' 'pythia-1.4b-deduped-v0' 'llama2_07B'
 'llama2_13B' 'llama_07B' 'llama_13B']",0.7142857142857143,0.0518999296107682,agi_english/1241
10,agi_english/1798,936.9950599849356,7,"['falcon-7b' 'deepseek-llm-7b-base' 'deepseek-llm-67b-base' 'dbrx-base'
 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B']",0.2,0.27549047981088753,agi_english/1798
11,agi_english/1537,934.984579150347,23,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-2b' 'deepseek-moe-16b-base'
 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'Qwen1.5-0.5B'
 'pythia-1b-deduped' 'llama2_07B' 'llama2_13B' 'llama2_70B' 'llama_13B'
 'llama_33B' 'llama_65B']",0.6571428571428571,0.42232651325066767,agi_english/1537
12,agi_english/612,933.8339260761769,11,"['mpt-30b' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B' 'deepseek-llm-67b-base'
 'Qwen1.5-72B' 'Qwen1.5-32B' 'Qwen1.5-110B' 'Qwen1.5-1.8B'
 'pythia-6.9b-deduped-v0' 'pythia-1.4b-deduped-v0' 'llama_07B']",0.3142857142857143,0.18686868686868685,agi_english/612
13,agi_english/1474,936.9950599849356,16,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'mpt-30b'
 'Mixtral-8x7B-v0.1' 'Mistral-7B-v0.1' 'Meta-Llama-3-70B' 'gemma-7b'
 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B'
 'pythia-2.8b-deduped' 'llama2_13B' 'llama_33B']",0.45714285714285713,0.26591842459964277,agi_english/1474
14,agi_english/2127,936.9950599849356,19,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'Mixtral-8x7B-v0.1'
 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1' 'Meta-Llama-3-70B' 'gemma-7b'
 'deepseek-moe-16b-base' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B'
 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-0.5B'
 'pythia-12b-deduped-v0' 'llama2_13B' 'llama2_70B' 'llama_07B']",0.5428571428571428,0.2447390810474588,agi_english/2127
15,agi_english/777,968.5804273441371,6,"['Meta-Llama-3-70B' 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-32B' 'llama_13B'
 'llama_33B']",0.17142857142857143,0.32971447867400305,agi_english/777
16,agi_english/1652,936.9950599849356,23,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t'
 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-8B'
 'deepseek-moe-16b-base' 'deepseek-llm-7b-base' 'deepseek-llm-67b-base'
 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B'
 'Qwen1.5-110B' 'Qwen1.5-0.5B' 'pythia-2.8b-deduped' 'llama2_07B'
 'llama2_13B' 'llama2_70B' 'llama_07B' 'llama_13B' 'llama_33B']",0.6571428571428571,0.16794270702365732,agi_english/1652
17,agi_english/1485,939.0016339912879,4,['Meta-Llama-3-70B' 'gemma-2b' 'Qwen1.5-32B' 'pythia-6.9b-deduped-v0'],0.11428571428571428,0.044215768828538185,agi_english/1485
18,agi_english/2260,953.2325227235465,17,"['stablelm-3b-4e1t' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1'
 'Mistral-7B-v0.1' 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-2b'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'llama2_07B' 'llama2_13B' 'llama2_70B'
 'llama_65B']",0.4857142857142857,0.5723160041370154,agi_english/2260
19,agi_english/2290,967.3182743837345,22,"['stablelm-base-alpha-7b-v2' 'mpt-30b' 'Mixtral-8x7B-v0.1'
 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1' 'Meta-Llama-3-8B'
 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-llm-7b-base'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B'
 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'llama2_13B'
 'llama2_70B' 'llama_13B' 'llama_33B' 'llama_65B']",0.6285714285714286,0.6356602469232246,agi_english/2290
20,agi_english/397,934.984579150347,12,"['stablelm-base-alpha-7b-v2' 'Mixtral-8x7B-v0.1' 'Meta-Llama-3-8B'
 'deepseek-llm-7b-base' 'deepseek-llm-67b-base' 'Qwen1.5-7B' 'Qwen1.5-32B'
 'Qwen1.5-1.8B' 'pythia-2.8b-deduped' 'pythia-1b-deduped' 'llama2_07B'
 'llama_33B']",0.34285714285714286,0.022227711223719353,agi_english/397
21,agi_english/2103,933.8339260761769,30,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'mpt-30b'
 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1' 'Meta-Llama-3-8B'
 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-llm-7b-base'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B'
 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B'
 'Qwen1.5-0.5B' 'pythia-6.9b-deduped-v0' 'pythia-1b-deduped'
 'pythia-12b-deduped-v0' 'pythia-1.4b-deduped-v0' 'llama2_07B'
 'llama2_13B' 'llama2_70B' 'llama_13B' 'llama_33B' 'llama_65B']",0.8571428571428571,0.22110831935702663,agi_english/2103
22,agi_english/2142,933.8339260761769,5,"['falcon-7b' 'deepseek-moe-16b-base' 'pythia-6.9b-deduped-v0'
 'pythia-12b-deduped-v0' 'pythia-1.4b-deduped-v0']",0.14285714285714285,-0.44221663871405326,agi_english/2142
23,agi_english/287,942.8609231263252,9,"['deepseek-llm-67b-base' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-0.5B' 'pythia-12b-deduped-v0' 'llama2_07B'
 'llama_33B']",0.2571428571428571,0.16629934485714773,agi_english/287
24,agi_english/906,934.984579150347,2,['pythia-1b-deduped' 'llama_07B'],0.05714285714285714,-0.2727272727272727,agi_english/906
25,agi_english/1112,939.0016339912879,11,"['stablelm-base-alpha-7b-v2' 'Mistral-7B-v0.1' 'Meta-Llama-3-70B'
 'gemma-2b' 'Qwen1.5-4B' 'Qwen1.5-110B' 'Qwen1.5-1.8B'
 'pythia-6.9b-deduped-v0' 'pythia-12b-deduped-v0' 'llama2_13B'
 'llama2_70B']",0.3142857142857143,0.002525252525252525,agi_english/1112
26,agi_english/629,933.8339260761769,13,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'mpt-30b'
 'Mistral-7B-v0.1' 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'dbrx-base'
 'Qwen1.5-1.8B' 'pythia-6.9b-deduped-v0' 'pythia-2.8b-deduped'
 'pythia-1.4b-deduped-v0' 'llama_07B']",0.37142857142857144,-0.262027888044688,agi_english/629
27,agi_english/1879,939.0016339912879,16,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-llm-67b-base'
 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B'
 'Qwen1.5-0.5B' 'pythia-6.9b-deduped-v0' 'llama2_70B' 'llama_65B']",0.45714285714285713,0.5694890155142792,agi_english/1879
28,agi_english/1421,953.2325227235465,24,"['stablelm-3b-4e1t' 'mpt-30b' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1'
 'Mistral-7B-v0.1' 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b'
 'gemma-2b' 'deepseek-moe-16b-base' 'deepseek-llm-67b-base' 'dbrx-base'
 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B'
 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'llama2_07B' 'llama2_13B' 'llama2_70B'
 'llama_33B' 'llama_65B']",0.6857142857142857,0.606060606060606,agi_english/1421
29,agi_english/82,933.8339260761769,2,['Qwen1.5-7B' 'pythia-1.4b-deduped-v0'],0.05714285714285714,-0.1111111111111111,agi_english/82
30,agi_english/523,934.984579150347,28,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'mpt-30b' 'Mixtral-8x7B-v0.1'
 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b'
 'deepseek-moe-16b-base' 'deepseek-llm-7b-base' 'deepseek-llm-67b-base'
 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'pythia-2.8b-deduped'
 'pythia-1b-deduped' 'llama2_07B' 'llama2_13B' 'llama2_70B' 'llama_07B'
 'llama_13B' 'llama_33B' 'llama_65B']",0.8,0.3868589716493314,agi_english/523
31,agi_english/2109,934.984579150347,8,"['Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B' 'deepseek-llm-67b-base'
 'Qwen1.5-7B' 'Qwen1.5-4B' 'Qwen1.5-0.5B' 'pythia-1b-deduped'
 'pythia-12b-deduped-v0']",0.22857142857142856,0.061418977599174064,agi_english/2109
32,agi_english/1578,1028.2707116091856,7,"['Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B' 'deepseek-llm-67b-base'
 'Qwen1.5-72B' 'Qwen1.5-32B' 'llama2_70B' 'llama_65B']",0.2,0.4923659639173309,agi_english/1578
33,agi_english/1582,967.3182743837345,7,"['stablelm-base-alpha-7b-v2' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-8B'
 'Meta-Llama-3-70B' 'Qwen1.5-32B' 'llama2_70B' 'llama_33B']",0.2,0.29893647809266516,agi_english/1582
34,agi_english/1201,933.8339260761769,12,"['stablelm-3b-4e1t' 'Mixtral-8x7B-v0.1' 'Mistral-7B-v0.1' 'gemma-7b'
 'Qwen1.5-0.5B' 'pythia-6.9b-deduped-v0' 'pythia-2.8b-deduped'
 'pythia-1b-deduped' 'pythia-12b-deduped-v0' 'pythia-1.4b-deduped-v0'
 'llama_07B' 'llama_13B']",0.34285714285714286,-0.43467524170828953,agi_english/1201
35,agi_english/108,939.2879764303312,10,"['stablelm-base-alpha-7b-v2' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B'
 'gemma-7b' 'deepseek-llm-67b-base' 'Qwen1.5-72B' 'Qwen1.5-110B'
 'pythia-2.8b-deduped' 'llama2_07B' 'llama_07B']",0.2857142857142857,0.2335496832484569,agi_english/108
