,benchmark_id,model,example_id,pass1,N,date,hyperparams
61574,mbpp,code-llama-multi-7b,Mbpp/2,1.0,,,
61575,mbpp,code-llama-multi-7b,Mbpp/3,1.0,,,
61576,mbpp,code-llama-multi-7b,Mbpp/4,0.0,,,
61577,mbpp,code-llama-multi-7b,Mbpp/6,1.0,,,
61578,mbpp,code-llama-multi-7b,Mbpp/7,1.0,,,
61579,mbpp,code-llama-multi-7b,Mbpp/8,1.0,,,
61580,mbpp,code-llama-multi-7b,Mbpp/9,0.0,,,
61581,mbpp,code-llama-multi-7b,Mbpp/11,0.0,,,
61582,mbpp,code-llama-multi-7b,Mbpp/12,1.0,,,
61583,mbpp,code-llama-multi-7b,Mbpp/14,0.0,,,
61584,mbpp,code-llama-multi-7b,Mbpp/16,1.0,,,
61585,mbpp,code-llama-multi-7b,Mbpp/17,1.0,,,
61586,mbpp,code-llama-multi-7b,Mbpp/18,1.0,,,
61587,mbpp,code-llama-multi-7b,Mbpp/19,1.0,,,
61588,mbpp,code-llama-multi-7b,Mbpp/20,1.0,,,
61589,mbpp,code-llama-multi-7b,Mbpp/56,0.0,,,
61590,mbpp,code-llama-multi-7b,Mbpp/57,1.0,,,
61591,mbpp,code-llama-multi-7b,Mbpp/58,1.0,,,
61592,mbpp,code-llama-multi-7b,Mbpp/59,0.0,,,
61593,mbpp,code-llama-multi-7b,Mbpp/61,1.0,,,
61594,mbpp,code-llama-multi-7b,Mbpp/62,1.0,,,
61595,mbpp,code-llama-multi-7b,Mbpp/63,0.0,,,
61596,mbpp,code-llama-multi-7b,Mbpp/64,0.0,,,
61597,mbpp,code-llama-multi-7b,Mbpp/65,1.0,,,
61598,mbpp,code-llama-multi-7b,Mbpp/66,0.0,,,
61599,mbpp,code-llama-multi-7b,Mbpp/67,0.0,,,
61600,mbpp,code-llama-multi-7b,Mbpp/68,0.0,,,
61601,mbpp,code-llama-multi-7b,Mbpp/69,0.0,,,
61602,mbpp,code-llama-multi-7b,Mbpp/70,1.0,,,
61603,mbpp,code-llama-multi-7b,Mbpp/71,1.0,,,
61604,mbpp,code-llama-multi-7b,Mbpp/72,0.0,,,
61605,mbpp,code-llama-multi-7b,Mbpp/74,0.0,,,
61606,mbpp,code-llama-multi-7b,Mbpp/75,1.0,,,
61607,mbpp,code-llama-multi-7b,Mbpp/77,1.0,,,
61608,mbpp,code-llama-multi-7b,Mbpp/79,0.0,,,
61609,mbpp,code-llama-multi-7b,Mbpp/80,0.0,,,
