,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,0,0.16000000000000003,10,"['qwen1.5-0.5b-chat' 'qwen1.5-7b-chat' 'qwen2-0.5b-instruct'
 'qwen2-math-72b-instruct' 'qwen2.5-coder-1.5b-instruct' 'qwen3-8b'
 'deepseek_v2_lite_chat' 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.3' 'google_gemma_2b_it']",0.09869281045686275,0.19607843137254902,0.005269090786508344,0
1,1,0.13777777776933334,31,"['qwen1.5-1.8b-chat' 'qwen1.5-14b-chat' 'qwen1.5-32b-chat'
 'qwen1.5-72b-chat' 'qwen2-1.5b-instruct' 'qwen2-72b-instruct'
 'qwen2-7b-instruct' 'qwen2-math-72b-instruct' 'qwen2-math-7b-instruct'
 'qwen2.5-coder-0.5b-instruct' 'qwen2.5-coder-1.5b-instruct'
 'qwen2.5-coder-14b-instruct' 'qwen2.5-coder-32b-instruct'
 'qwen2.5-coder-3b-instruct' 'qwen2.5-coder-7b-instruct' 'qwen3-1.7b'
 'qwen3-14b' 'qwen3-32b' 'qwen3-4b' 'qwen3-8b' 'deepseek_v2_lite_chat'
 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.1'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_2b_it'
 'google_gemma_7b_it' 'google_gemma_2_27b_it' 'google_gemma_2_9b_it'
 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'
 'google_codegemma_1.1_7b_it']",0.45555555555490196,0.6078431372549019,0.5815178885430461,1
2,10,0.07,45,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct' 'qwen1.5-0.5b-chat'
 'qwen1.5-1.8b-chat' 'qwen1.5-14b-chat' 'qwen1.5-32b-chat'
 'qwen1.5-72b-chat' 'qwen1.5-7b-chat' 'qwen2-0.5b-instruct'
 'qwen2-1.5b-instruct' 'qwen2-72b-instruct' 'qwen2-7b-instruct'
 'qwen2-math-1.5b-instruct' 'qwen2-math-72b-instruct'
 'qwen2-math-7b-instruct' 'qwen2.5-coder-1.5b-instruct'
 'qwen2.5-coder-14b-instruct' 'qwen2.5-coder-32b-instruct'
 'qwen2.5-coder-3b-instruct' 'qwen2.5-coder-7b-instruct' 'qwen3-0.6b'
 'qwen3-1.7b' 'qwen3-14b' 'qwen3-32b' 'qwen3-4b' 'qwen3-8b'
 'deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_llama_8b'
 'deepseek_r1_distill_qwen_7b' 'deepseek_v2_lite_chat'
 'mistralai_mathstral_7b_v0.1' 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.1' 'mistralai_mistral_7b_instruct_v0.2'
 'mistralai_mistral_7b_instruct_v0.3'
 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_2b_it'
 'google_gemma_7b_it' 'google_gemma_2_27b_it' 'google_gemma_2_9b_it'
 'google_gemma_3_12b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.693790849672549,0.8823529411764706,0.5458576049607898,10
3,11,0.16000000000000003,22,"['qwen1.5-0.5b-chat' 'qwen1.5-32b-chat' 'qwen1.5-72b-chat'
 'qwen2-0.5b-instruct' 'qwen2-72b-instruct' 'qwen2-math-72b-instruct'
 'qwen2.5-coder-0.5b-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-3b-instruct' 'qwen2.5-coder-7b-instruct' 'qwen3-0.6b'
 'qwen3-4b' 'deepseek_v2_lite_chat' 'mistralai_mathstral_7b_v0.1'
 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_2b_it'
 'google_gemma_2_9b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'
 'google_codegemma_1.1_7b_it']",0.20326797385490197,0.43137254901960786,0.29875996963437884,11
4,12,0.16,5,"['llama-3.1-8B-instruct' 'qwen2.5-coder-0.5b-instruct'
 'mistralai_mathstral_7b_v0.1' 'mistralai_ministral_8b_instruct_2410'
 'google_gemma_3_1b_it']",0.038235294117647055,0.09803921568627451,-0.10369208096332547,12
5,13,0.07,35,"['llama-3.1-8B-instruct' 'qwen1.5-32b-chat' 'qwen1.5-72b-chat'
 'qwen2-0.5b-instruct' 'qwen2-1.5b-instruct' 'qwen2-72b-instruct'
 'qwen2-7b-instruct' 'qwen2-math-1.5b-instruct' 'qwen2-math-72b-instruct'
 'qwen2-math-7b-instruct' 'qwen2.5-coder-0.5b-instruct'
 'qwen2.5-coder-1.5b-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-32b-instruct' 'qwen2.5-coder-3b-instruct'
 'qwen2.5-coder-7b-instruct' 'qwen3-0.6b' 'qwen3-1.7b' 'qwen3-14b'
 'qwen3-32b' 'qwen3-4b' 'qwen3-8b' 'deepseek_r1_distill_llama_8b'
 'deepseek_r1_distill_qwen_14b' 'deepseek_r1_distill_qwen_32b'
 'deepseek_r1_distill_qwen_7b' 'mistralai_mathstral_7b_v0.1'
 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.3'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_2_27b_it'
 'google_gemma_2_9b_it' 'google_gemma_3_12b_it' 'google_gemma_3_1b_it'
 'google_gemma_3_27b_it']",0.46013071895294116,0.6862745098039216,0.49954459672279494,13
6,14,0.07333333333333333,31,"['qwen1.5-0.5b-chat' 'qwen1.5-72b-chat' 'qwen1.5-7b-chat'
 'qwen2-1.5b-instruct' 'qwen2-72b-instruct' 'qwen2-7b-instruct'
 'qwen2-math-72b-instruct' 'qwen2.5-coder-0.5b-instruct'
 'qwen2.5-coder-1.5b-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-32b-instruct' 'qwen2.5-coder-7b-instruct' 'qwen3-0.6b'
 'qwen3-1.7b' 'qwen3-14b' 'qwen3-32b' 'qwen3-4b'
 'deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_qwen_14b'
 'deepseek_r1_distill_qwen_32b' 'deepseek_r1_distill_qwen_7b'
 'deepseek_v2_lite_chat' 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.1'
 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_2_27b_it'
 'google_gemma_2_9b_it' 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it']",0.2647058823509804,0.6078431372549019,0.3659134660484298,14
7,15,0.16000000000000003,24,"['qwen1.5-0.5b-chat' 'qwen1.5-14b-chat' 'qwen2-0.5b-instruct'
 'qwen2-1.5b-instruct' 'qwen2-72b-instruct' 'qwen2-7b-instruct'
 'qwen2-math-72b-instruct' 'qwen2-math-7b-instruct'
 'qwen2.5-coder-0.5b-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-32b-instruct' 'qwen3-0.6b' 'qwen3-1.7b' 'qwen3-14b'
 'qwen3-32b' 'qwen3-4b' 'qwen3-8b' 'mistralai_mathstral_7b_v0.1'
 'mistralai_mistral_7b_instruct_v0.3'
 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_2b_it'
 'google_gemma_2_27b_it' 'google_gemma_3_27b_it']",0.2643790849666667,0.47058823529411764,0.4708703831572885,15
8,16,0.07,41,"['llama-3.2-3B-instruct' 'llama-3.2-1B-instruct' 'qwen1.5-0.5b-chat'
 'qwen1.5-14b-chat' 'qwen1.5-32b-chat' 'qwen1.5-72b-chat'
 'qwen1.5-7b-chat' 'qwen2-0.5b-instruct' 'qwen2-1.5b-instruct'
 'qwen2-72b-instruct' 'qwen2-7b-instruct' 'qwen2-math-1.5b-instruct'
 'qwen2-math-72b-instruct' 'qwen2-math-7b-instruct'
 'qwen2.5-coder-0.5b-instruct' 'qwen2.5-coder-1.5b-instruct'
 'qwen2.5-coder-14b-instruct' 'qwen2.5-coder-32b-instruct'
 'qwen2.5-coder-3b-instruct' 'qwen2.5-coder-7b-instruct' 'qwen3-0.6b'
 'qwen3-1.7b' 'qwen3-14b' 'qwen3-32b' 'qwen3-4b' 'qwen3-8b'
 'deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_llama_8b'
 'deepseek_r1_distill_qwen_14b' 'deepseek_r1_distill_qwen_7b'
 'deepseek_v2_lite_chat' 'mistralai_mathstral_7b_v0.1'
 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.3'
 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_2b_it'
 'google_gemma_7b_it' 'google_gemma_2_27b_it' 'google_gemma_2_9b_it'
 'google_gemma_3_12b_it']",0.6006535947705882,0.803921568627451,0.48662610926890876,16
9,17,0.08666666666666667,26,"['qwen1.5-72b-chat' 'qwen1.5-7b-chat' 'qwen2-0.5b-instruct'
 'qwen2-72b-instruct' 'qwen2-math-1.5b-instruct' 'qwen2-math-72b-instruct'
 'qwen2.5-coder-1.5b-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-32b-instruct' 'qwen2.5-coder-3b-instruct' 'qwen3-0.6b'
 'qwen3-14b' 'qwen3-32b' 'qwen3-4b' 'qwen3-8b'
 'deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_qwen_14b'
 'deepseek_r1_distill_qwen_32b' 'deepseek_v2_lite_chat'
 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.1'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_2_9b_it'
 'google_gemma_3_12b_it' 'google_gemma_3_27b_it'
 'google_codegemma_1.1_7b_it']",0.2816993464039215,0.5098039215686274,0.3313718052832575,17
