,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,0,,0,[],0.0,0.0,,0
1,1,0.16818181818055555,3,['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'],0.023351158645098038,0.058823529411764705,0.4420153721737994,1
2,10,0.06282051281722222,6,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it'
 'llama-3.1-8B-instruct']",0.08027332145098039,0.11764705882352941,0.6060385078314506,10
3,100,0.4009259259272222,1,['google_gemma_3_27b_it'],0.00980392156862745,0.0196078431372549,0.26499947000158997,100
4,101,0.0069444444438888885,5,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_1b_it'
 'google_gemma_3_27b_it' 'google_gemma_3_4b_it']",0.06669637551960785,0.09803921568627451,0.5260424436598399,101
5,102,0.00046296296277777783,1,['qwen2.5-coder-3b-instruct'],0.0016339869274509804,0.0196078431372549,0.1006997986006042,102
6,103,0.20111111111111113,1,['google_gemma_2_27b_it'],0.00392156862745098,0.0196078431372549,0.2543994912015264,103
7,104,0.4009259259272222,1,['google_gemma_3_27b_it'],0.0196078431372549,0.0196078431372549,0.26499947000158997,104
8,105,0.16818181818055555,4,"['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'
 'google_gemma_3_4b_it']",0.015279491750980392,0.0784313725490196,0.48970047604397177,105
9,106,0.20111111111111113,2,['google_gemma_2_27b_it' 'google_gemma_3_27b_it'],0.003594771241176471,0.0392156862745098,0.3653542302203347,106
10,107,0.16818181818055555,3,['google_gemma_2_27b_it' 'google_gemma_2_9b_it' 'google_gemma_3_27b_it'],0.019875222815686277,0.058823529411764705,0.42965130581928745,107
11,108,,0,[],0.0,0.0,,108
12,109,0.06969696969444446,2,['google_gemma_3_12b_it' 'google_gemma_3_27b_it'],0.015002970884313726,0.0392156862745098,0.3352219225732968,109
13,11,0.024999999998333328,9,"['google_gemma_7b_it' 'google_gemma_2_27b_it' 'google_gemma_2_9b_it'
 'google_gemma_3_12b_it' 'google_gemma_3_27b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it' 'llama-3.1-8B-instruct'
 'llama-3.2-3B-instruct']",0.1428431238117647,0.17647058823529413,0.7080075129924523,11
14,110,,0,[],0.0,0.0,,110
15,111,0.16818181818055555,1,['google_gemma_2_9b_it'],0.001782531194117647,0.0196078431372549,0.2225995548013356,111
16,112,0.20111111111111113,2,['google_gemma_2_27b_it' 'google_gemma_3_27b_it'],0.0055555555549019605,0.0392156862745098,0.3653542302203347,112
17,113,,0,[],0.0,0.0,,113
