,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
11052,llama-3.1-70B-instruct,math500_cot,1.0,-1,0,4,4,1.0
11053,llama-3.1-70B-instruct,math500_cot,1.0,-1,1,4,0,0.0
11054,llama-3.1-70B-instruct,math500_cot,1.0,-1,2,4,4,1.0
11055,llama-3.1-70B-instruct,math500_cot,1.0,-1,3,4,4,1.0
11056,llama-3.1-70B-instruct,math500_cot,1.0,-1,4,4,0,0.0
11057,llama-3.1-70B-instruct,math500_cot,1.0,-1,5,4,4,1.0
11058,llama-3.1-70B-instruct,math500_cot,1.0,-1,6,4,4,1.0
11059,llama-3.1-70B-instruct,math500_cot,1.0,-1,7,4,4,1.0
11060,llama-3.1-70B-instruct,math500_cot,1.0,-1,8,4,4,1.0
11061,llama-3.1-70B-instruct,math500_cot,1.0,-1,9,4,0,0.0
11062,llama-3.1-70B-instruct,math500_cot,1.0,-1,10,4,0,0.0
11063,llama-3.1-70B-instruct,math500_cot,1.0,-1,11,4,0,0.0
11064,llama-3.1-70B-instruct,math500_cot,1.0,-1,12,4,0,0.0
11065,llama-3.1-70B-instruct,math500_cot,1.0,-1,13,4,4,1.0
11066,llama-3.1-70B-instruct,math500_cot,1.0,-1,14,4,4,1.0
11067,llama-3.1-70B-instruct,math500_cot,1.0,-1,15,4,4,1.0
11068,llama-3.1-70B-instruct,math500_cot,1.0,-1,16,4,4,1.0
11069,llama-3.1-70B-instruct,math500_cot,1.0,-1,17,4,4,1.0
11070,llama-3.1-70B-instruct,math500_cot,1.0,-1,18,4,0,0.0
11071,llama-3.1-70B-instruct,math500_cot,1.0,-1,19,4,4,1.0
11072,llama-3.1-70B-instruct,math500_cot,1.0,-1,20,4,4,1.0
11073,llama-3.1-70B-instruct,math500_cot,1.0,-1,21,4,0,0.0
11074,llama-3.1-70B-instruct,math500_cot,1.0,-1,22,4,4,1.0
11075,llama-3.1-70B-instruct,math500_cot,1.0,-1,23,4,4,1.0
11076,llama-3.1-70B-instruct,math500_cot,1.0,-1,24,4,0,0.0
11077,llama-3.1-70B-instruct,math500_cot,1.0,-1,25,4,0,0.0
11078,llama-3.1-70B-instruct,math500_cot,1.0,-1,26,4,0,0.0
11079,llama-3.1-70B-instruct,math500_cot,1.0,-1,27,4,4,1.0
11080,llama-3.1-70B-instruct,math500_cot,1.0,-1,28,4,4,1.0
11081,llama-3.1-70B-instruct,math500_cot,1.0,-1,29,4,0,0.0
11082,llama-3.1-70B-instruct,math500_cot,1.0,-1,30,4,4,1.0
11083,llama-3.1-70B-instruct,math500_cot,1.0,-1,31,4,3,0.75
11084,llama-3.1-70B-instruct,math500_cot,1.0,-1,32,4,4,1.0
11085,llama-3.1-70B-instruct,math500_cot,1.0,-1,33,4,4,1.0
11086,llama-3.1-70B-instruct,math500_cot,1.0,-1,34,4,0,0.0
11087,llama-3.1-70B-instruct,math500_cot,1.0,-1,35,4,0,0.0
11088,llama-3.1-70B-instruct,math500_cot,1.0,-1,36,4,0,0.0
11089,llama-3.1-70B-instruct,math500_cot,1.0,-1,37,4,4,1.0
11090,llama-3.1-70B-instruct,math500_cot,1.0,-1,38,4,0,0.0
11091,llama-3.1-70B-instruct,math500_cot,1.0,-1,39,4,4,1.0
11092,llama-3.1-70B-instruct,math500_cot,1.0,-1,40,4,4,1.0
11093,llama-3.1-70B-instruct,math500_cot,1.0,-1,41,4,4,1.0
11094,llama-3.1-70B-instruct,math500_cot,1.0,-1,42,4,4,1.0
11095,llama-3.1-70B-instruct,math500_cot,1.0,-1,43,4,0,0.0
11096,llama-3.1-70B-instruct,math500_cot,1.0,-1,44,4,3,0.75
11097,llama-3.1-70B-instruct,math500_cot,1.0,-1,45,4,4,1.0
11098,llama-3.1-70B-instruct,math500_cot,1.0,-1,46,4,0,0.0
11099,llama-3.1-70B-instruct,math500_cot,1.0,-1,47,4,4,1.0
11100,llama-3.1-70B-instruct,math500_cot,1.0,-1,48,4,4,1.0
