,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
1952,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,0,13,6,0.4615384615
1953,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,1,13,1,0.0769230769
1954,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,2,13,3,0.2307692308
1955,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,3,13,1,0.0769230769
1956,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,4,13,2,0.1538461538
1957,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,5,13,0,0.0
1958,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,6,13,4,0.3076923077
1959,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,7,13,4,0.3076923077
1960,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,8,13,1,0.0769230769
1961,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,9,13,1,0.0769230769
1962,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,10,13,0,0.0
1963,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,11,13,0,0.0
1964,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,12,13,1,0.0769230769
1965,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,13,13,3,0.2307692308
1966,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,14,13,2,0.1538461538
1967,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,15,13,6,0.4615384615
1968,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,16,13,7,0.5384615385
1969,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,17,13,3,0.2307692308
1970,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,18,13,0,0.0
1971,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,19,13,2,0.1538461538
1972,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,20,13,4,0.3076923077
1973,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,21,13,4,0.3076923077
1974,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,22,13,2,0.1538461538
1975,qwen1.5-0.5b-chat,gre_physics_cot,0.7,-1,23,13,4,0.3076923077
