,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
60,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,0,4,4,1.0
61,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,1,4,4,1.0
62,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,2,4,4,1.0
63,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,3,4,4,1.0
64,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,4,4,0,0.0
65,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,5,4,4,1.0
66,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,6,4,0,0.0
67,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,7,4,0,0.0
68,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,8,4,4,1.0
69,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,9,4,4,1.0
70,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,10,4,4,1.0
71,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,11,4,4,1.0
72,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,12,4,0,0.0
73,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,13,4,4,1.0
74,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,14,4,4,1.0
75,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,15,4,0,0.0
76,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,16,4,4,1.0
77,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,17,4,4,1.0
78,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,18,4,0,0.0
79,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,19,4,4,1.0
80,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,20,4,4,1.0
81,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,21,4,4,1.0
82,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,22,4,4,1.0
83,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,23,4,0,0.0
84,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,24,4,0,0.0
85,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,25,4,0,0.0
86,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,26,4,4,1.0
87,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,27,4,4,1.0
88,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,28,4,0,0.0
89,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,29,4,4,1.0
90,llama-3.1-70B-instruct,cruxeval_input_cot,1.0,-1,30,4,4,1.0
