,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,0,0.02925,14,"['qwen2-1.5b-instruct' 'qwen2-7b-instruct' 'qwen2.5-coder-1.5b-instruct'
 'qwen2.5-coder-7b-instruct' 'qwen3-0.6b' 'qwen3-1.7b' 'qwen3-14b'
 'qwen3-4b' 'qwen3-8b' 'deepseek_r1_distill_qwen_14b'
 'deepseek_v2_lite_chat' 'mistralai_mistral_7b_instruct_v0.1'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it']",0.19230769230769232,0.358974358974359,0.3689718501586676,0
1,1,0.2855,2,['qwen3-4b' 'google_gemma_3_12b_it'],0.01282051282051282,0.05128205128205128,0.27330967776743265,1
2,10,0.11725,7,"['qwen1.5-14b-chat' 'qwen2.5-coder-14b-instruct' 'qwen3-8b'
 'deepseek_r1_distill_qwen_14b' 'mistralai_mistral_7b_instruct_v0.2'
 'google_gemma_3_12b_it' 'google_codegemma_1.1_7b_it']",0.06495726495641026,0.1794871794871795,0.3652745861527613,10
3,100,0.0592,16,"['llama-3.1-8B-instruct' 'qwen2-7b-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-7b-instruct' 'qwen3-0.6b' 'qwen3-1.7b' 'qwen3-14b'
 'qwen3-4b' 'qwen3-8b' 'deepseek_r1_distill_qwen_14b'
 'deepseek_v2_lite_chat' 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.2' 'mistralai_mistral_7b_instruct_v0.3'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it']",0.23418803418717948,0.41025641025641024,0.4825782656889555,100
4,101,0.0592,14,"['llama-3.1-8B-instruct' 'qwen1.5-14b-chat' 'qwen2-7b-instruct'
 'qwen2.5-coder-14b-instruct' 'qwen3-0.6b' 'qwen3-1.7b' 'qwen3-14b'
 'qwen3-4b' 'qwen3-8b' 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.2' 'google_gemma_2_9b_it'
 'google_gemma_3_12b_it' 'google_gemma_3_4b_it']",0.20213675213589744,0.358974358974359,0.4701437415321025,101
5,102,0.10499999999819999,15,"['qwen1.5-14b-chat' 'qwen2-math-7b-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-3b-instruct' 'qwen3-1.7b' 'qwen3-14b' 'qwen3-4b'
 'qwen3-8b' 'deepseek_r1_distill_qwen_14b'
 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.2' 'mistralai_mistral_7b_instruct_v0.3'
 'google_gemma_2_9b_it' 'google_gemma_3_12b_it' 'google_gemma_3_4b_it']",0.17094017094102562,0.38461538461538464,0.5183895865703763,102
6,103,0.04825,11,"['llama-3.1-8B-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-7b-instruct' 'qwen3-1.7b' 'qwen3-14b' 'qwen3-4b'
 'qwen3-8b' 'deepseek_r1_distill_llama_8b' 'deepseek_r1_distill_qwen_14b'
 'mistralai_mistral_7b_instruct_v0.2' 'google_codegemma_1.1_7b_it']",0.16324786324871793,0.28205128205128205,0.37135575202417603,103
7,104,,0,[],0.0,0.0,,104
8,105,0.32225,1,['google_gemma_3_12b_it'],0.00641025641025641,0.02564102564102564,0.20261799558376978,105
9,106,0.38633333333380004,1,['qwen2.5-coder-14b-instruct'],0.017094017094871794,0.02564102564102564,0.22645540682891918,106
10,107,,0,[],0.0,0.0,,107
11,108,,0,[],0.0,0.0,,108
12,109,0.168,3,"['qwen3-14b' 'mistralai_mathstral_7b_v0.1'
 'mistralai_ministral_8b_instruct_2410']",0.027777777776923075,0.07692307692307693,0.23361687449867202,109
13,11,0.04825,10,"['qwen1.5-14b-chat' 'qwen2-7b-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-3b-instruct' 'qwen2.5-coder-7b-instruct' 'qwen3-4b'
 'qwen3-8b' 'deepseek_r1_distill_llama_8b' 'mistralai_mathstral_7b_v0.1'
 'mistralai_ministral_8b_instruct_2410']",0.14743589743589744,0.2564102564102564,0.4610720253793464,11
14,110,0.05825,19,"['llama-3.1-8B-instruct' 'qwen1.5-14b-chat' 'qwen2-7b-instruct'
 'qwen2.5-coder-14b-instruct' 'qwen2.5-coder-3b-instruct'
 'qwen2.5-coder-7b-instruct' 'qwen3-1.7b' 'qwen3-14b' 'qwen3-4b'
 'qwen3-8b' 'deepseek_r1_distill_qwen_14b' 'mistralai_mathstral_7b_v0.1'
 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.1' 'mistralai_mistral_7b_instruct_v0.2'
 'mistralai_mistral_7b_instruct_v0.3' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it']",0.32777777777948713,0.48717948717948717,0.6386648229911789,110
15,111,0.10499999999819999,20,"['llama-3.1-8B-instruct' 'qwen1.5-14b-chat' 'qwen2-7b-instruct'
 'qwen2.5-coder-14b-instruct' 'qwen2.5-coder-3b-instruct'
 'qwen2.5-coder-7b-instruct' 'qwen3-1.7b' 'qwen3-14b' 'qwen3-4b'
 'qwen3-8b' 'deepseek_r1_distill_qwen_14b' 'deepseek_v2_lite_chat'
 'mistralai_mathstral_7b_v0.1' 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.2' 'mistralai_mistral_7b_instruct_v0.3'
 'google_gemma_2_9b_it' 'google_gemma_3_12b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.3606837606846154,0.5128205128205128,0.6613229557314516,111
16,112,0.32225,2,['qwen2.5-coder-14b-instruct' 'google_gemma_3_12b_it'],0.014957264956410254,0.05128205128205128,0.3096585846482118,112
17,113,0.2855,1,['qwen3-4b'],0.00641025641025641,0.02564102564102564,0.1787805843386204,113
18,114,0.10499999999819999,10,"['qwen2.5-coder-14b-instruct' 'qwen2.5-coder-7b-instruct' 'qwen3-4b'
 'qwen3-8b' 'deepseek_r1_distill_qwen_14b' 'mistralai_mathstral_7b_v0.1'
 'mistralai_ministral_8b_instruct_2410' 'google_gemma_2_9b_it'
 'google_gemma_3_12b_it' 'google_gemma_3_4b_it']",0.13974358974358975,0.2564102564102564,0.48405069495923425,114
19,115,0.17675,5,"['qwen2.5-coder-14b-instruct' 'qwen2.5-coder-7b-instruct' 'qwen3-14b'
 'qwen3-8b' 'mistralai_ministral_8b_instruct_2410']",0.0641025641025641,0.1282051282051282,0.4255945703598677,115
20,116,0.136999999999,4,"['qwen2.5-coder-14b-instruct' 'deepseek_v2_lite_chat'
 'google_gemma_3_4b_it' 'google_codegemma_1.1_7b_it']",0.0376068376051282,0.10256410256410256,0.265415418032854,116
21,117,0.02925,31,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct' 'qwen1.5-14b-chat'
 'qwen1.5-7b-chat' 'qwen2-1.5b-instruct' 'qwen2-7b-instruct'
 'qwen2-math-7b-instruct' 'qwen2.5-coder-0.5b-instruct'
 'qwen2.5-coder-1.5b-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-3b-instruct' 'qwen2.5-coder-7b-instruct' 'qwen3-0.6b'
 'qwen3-1.7b' 'qwen3-14b' 'qwen3-4b' 'qwen3-8b'
 'deepseek_r1_distill_llama_8b' 'deepseek_r1_distill_qwen_14b'
 'deepseek_r1_distill_qwen_7b' 'deepseek_v2_lite_chat'
 'mistralai_mathstral_7b_v0.1' 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.1' 'mistralai_mistral_7b_instruct_v0.2'
 'mistralai_mistral_7b_instruct_v0.3' 'google_gemma_2_9b_it'
 'google_gemma_3_12b_it' 'google_gemma_3_1b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.5282051282051281,0.7948717948717948,0.6400987959291894,117
22,118,0.011333333332799999,25,"['llama-3.1-8B-instruct' 'llama-3.2-3B-instruct' 'qwen1.5-14b-chat'
 'qwen2-7b-instruct' 'qwen2-math-1.5b-instruct' 'qwen2-math-7b-instruct'
 'qwen2.5-coder-1.5b-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-3b-instruct' 'qwen2.5-coder-7b-instruct' 'qwen3-1.7b'
 'qwen3-14b' 'qwen3-4b' 'qwen3-8b' 'deepseek_r1_distill_llama_8b'
 'deepseek_r1_distill_qwen_14b' 'deepseek_r1_distill_qwen_7b'
 'deepseek_v2_lite_chat' 'mistralai_mathstral_7b_v0.1'
 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.2' 'mistralai_mistral_7b_instruct_v0.3'
 'google_gemma_3_12b_it' 'google_gemma_3_4b_it'
 'google_codegemma_1.1_7b_it']",0.45128205128461535,0.6410256410256411,0.6260537857051023,118
